rise,down,freq,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.05,-0.06,25.0,0.5707466996717249,0.4392109588685447,0.21038264466588769,6.174080873409203,0.21047374429223747,2022-01-01,2022-07-31
0.05,-0.07,5.0,0.5674746111535769,0.45497034959789956,0.2345757340994371,5.388980158709888,0.2314497716894977,2022-01-01,2022-07-31
0.06,-0.08,25.0,0.5665897045518955,0.42456691562882115,0.1781034384494453,6.280900671777184,0.21247146118721463,2022-01-01,2022-07-31
0.05,-0.06,20.0,0.5616402987844243,0.4388810215861318,0.21966655243305377,5.88464931147638,0.21746575342465752,2022-01-01,2022-07-31
0.04,-0.02,5.0,0.557903588373551,0.5253697718334811,0.2210268045213224,3.678197459869282,0.2887081430745814,2022-01-01,2022-07-31
0.06,-0.08,1.0,0.5560226029600878,0.4320427707263381,0.24107757534325108,6.035325366025645,0.21323820395738205,2022-01-01,2022-07-31
0.06,-0.07,2.0,0.5549153119240393,0.4332547454640701,0.24576112820674345,6.1156989292708035,0.20942922374429226,2022-01-01,2022-07-31
0.03,-0.02,25.0,0.5501261603185225,0.5015854360391443,0.2655599781691082,3.6905552101787458,0.29718417047184176,2022-01-01,2022-07-31
0.01,-0.07,240.0,0.5493959755679805,0.47907217747064196,0.23272857278237258,3.709710082467361,0.3091324200913242,2022-01-01,2022-07-31
0.06,-0.06,2.0,0.5429364705762167,0.44081490005547447,0.22930134566653249,5.824441244926739,0.21146499238964994,2022-01-01,2022-07-31
0.06,-0.06,1.0,0.5398297593911484,0.447500455863794,0.2286491414887578,5.355273638052287,0.22525875190258754,2022-01-01,2022-07-31
0.07,-0.06,1.0,0.5397454795128513,0.4533471406174156,0.22151929736188447,5.138977898472387,0.23167617960426182,2022-01-01,2022-07-31
0.05,-0.06,30.0,0.5359346446688289,0.4407020449183703,0.2163691257086352,5.783373582246913,0.21027397260273972,2022-01-01,2022-07-31
0.05,-0.07,10.0,0.5313238615389783,0.4551673724027121,0.23179304482571927,4.758344571239166,0.24531963470319632,2022-01-01,2022-07-31
0.04,-0.07,120.0,0.5303229960929299,0.4479888769376247,0.21044681275802257,4.756865161731342,0.24885844748858446,2022-01-01,2022-07-31
0.06,-0.07,5.0,0.5242989986705751,0.4627695024996943,0.2470671900294067,4.6218829042216525,0.24512937595129375,2022-01-01,2022-07-31
0.05,-0.07,25.0,0.5240509901365124,0.42874004844509,0.24950222727592375,5.428334324388861,0.22517123287671234,2022-01-01,2022-07-31
0.09,-0.01,20.0,0.5237900056999916,0.39926326938597206,0.24780948383023893,8.09307584806548,0.16210045662100456,2022-01-01,2022-07-31
0.07,-0.06,5.0,0.5230682519060632,0.45866732009898314,0.2231437222922193,5.6917564298379935,0.20036149162861489,2022-01-01,2022-07-31
0.05,-0.08,25.0,0.508134112177064,0.4137332757826538,0.23767425893625016,6.29320284287752,0.19515791476407918,2022-01-01,2022-07-31
0.05,-0.09,1.0,0.5074147329285579,0.4571033659715589,0.36408673290750293,5.383775252699984,0.20618721461187217,2022-01-01,2022-07-31
0.05,-0.09,2.0,0.5056903818774939,0.4450833933170943,0.35740772266875576,5.97684940846737,0.1900951293759513,2022-01-01,2022-07-31
0.05,-0.06,60.0,0.5046974256843559,0.4445594389884424,0.23925949861181972,5.084362530767598,0.2232876712328767,2022-01-01,2022-07-31
0.01,-0.09,240.0,0.5015463228497274,0.46680469393979157,0.24591683255372265,3.4859100645873515,0.3082191780821918,2022-01-01,2022-07-31
0.02,-0.05,10.0,0.49798175778141684,0.5175695543279759,0.27159682936948903,3.3568422528459827,0.2866248097412481,2022-01-01,2022-07-31
0.09,-0.01,10.0,0.49432616132605833,0.40198464020253166,0.20226523916662054,8.042026956459587,0.15291095890410958,2022-01-01,2022-07-31
0.01,-0.04,240.0,0.49301043433412617,0.4971456436406009,0.24061819447749214,3.3056069895588176,0.3,2022-01-01,2022-07-31
0.05,-0.06,120.0,0.4927907375157369,0.45260260867090985,0.23475903258749398,4.516018119611824,0.24109589041095889,2022-01-01,2022-07-31
0.07,-0.08,1.0,0.4926713750972174,0.4499651665638718,0.24107757534325125,4.6829254864077425,0.23380898021308982,2022-01-01,2022-07-31
0.11,-0.02,1.0,0.4904065962461891,0.416790446470494,0.24204306504355,7.090434383964502,0.16594558599695586,2022-01-01,2022-07-31
0.05,-0.08,5.0,0.4896081206085619,0.43260636774856487,0.25531930955634197,6.882903377757829,0.16443112633181126,2022-01-01,2022-07-31
0.05,-0.07,30.0,0.48713100785998303,0.4321490674426071,0.24464998331047705,5.018819307224517,0.22460045662100456,2022-01-01,2022-07-31
0.07,-0.06,10.0,0.4839937422775254,0.4467739130851435,0.2563342540120149,5.928640886413224,0.18272450532724505,2022-01-01,2022-07-31
0.06,-0.05,25.0,0.4827332578976262,0.43393902006020035,0.27626465745549833,4.909328709286197,0.22659817351598174,2022-01-01,2022-07-31
0.04,-0.06,120.0,0.4817058043612482,0.47326305260527185,0.23475903258749392,3.743187895485882,0.27191780821917805,2022-01-01,2022-07-31
0.05,-0.08,20.0,0.47956107451418595,0.4386122538466818,0.2499678424112458,4.950637429449249,0.22085235920852359,2022-01-01,2022-07-31
0.05,-0.09,5.0,0.47932910777114196,0.3930607488868096,0.2823339392531612,10.029070045130473,0.12159436834094367,2022-01-01,2022-07-31
0.05,-0.05,10.0,0.47865402913659544,0.47926614984884663,0.33720664403162776,4.1883723091228635,0.2384512937595129,2022-01-01,2022-07-31
0.01,-0.01,960.0,0.47463182570558127,0.46827682702950807,0.2745999057661227,3.5345868707050565,0.2867579908675799,2022-01-01,2022-07-31
0.05,-0.05,20.0,0.4734644348161186,0.4575394441163269,0.31958026080964846,4.252493256353528,0.24334094368340942,2022-01-01,2022-07-31
