rise,down,freq,take_profit,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.06,-0.01,7200.0,10.0,9.01038091230067,1.889474316462835,1.1416554494027258,2.468913677375161,1.9315068493150684,2019-01-01,2022-07-29
0.07,-0.01,7200.0,10.0,9.01038091230067,1.889474316462835,1.1416554494027258,2.468913677375161,1.9315068493150684,2019-01-01,2022-07-29
0.08,-0.01,7200.0,10.0,8.434483526122511,1.8988614127316217,1.344382331248834,2.1055587532976747,2.1095890410958904,2019-01-01,2022-07-29
0.06,-0.02,7200.0,10.0,8.19583983815589,1.9418148945910612,1.9047796149901632,2.1698022271494377,1.9452054794520546,2019-01-01,2022-07-29
0.07,-0.02,7200.0,10.0,8.19583983815589,1.9418148945910612,1.9047796149901632,2.1698022271494377,1.9452054794520546,2019-01-01,2022-07-29
0.06,-0.03,7200.0,10.0,7.849121883235844,1.9477459897722975,1.9297439741355005,1.9482050598401373,2.0684931506849313,2019-01-01,2022-07-29
0.07,-0.03,7200.0,10.0,7.849121883235844,1.9477459897722975,1.9297439741355005,1.9482050598401373,2.0684931506849313,2019-01-01,2022-07-29
0.06,-0.04,7200.0,10.0,7.7829980407053005,1.949320128331156,1.9297439741354987,1.9050008911015226,2.095890410958904,2019-01-01,2022-07-29
0.07,-0.04,7200.0,10.0,7.7829980407053005,1.949320128331156,1.9297439741354987,1.9050008911015226,2.095890410958904,2019-01-01,2022-07-29
0.1,-0.01,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.08,-0.03,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.08,-0.02,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.09,-0.02,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.09,-0.01,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.1,-0.03,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.1,-0.02,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.09,-0.03,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.11,-0.02,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.11,-0.01,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.11,-0.03,7200.0,10.0,7.619942451977732,1.9506934703006444,2.1589234053936126,1.839728868182033,2.1232876712328768,2019-01-01,2022-07-29
0.11,-0.04,7200.0,10.0,7.5538186094471875,1.9522569456567918,2.158923405393611,1.7990895582341888,2.150684931506849,2019-01-01,2022-07-29
0.09,-0.04,7200.0,10.0,7.5538186094471875,1.9522569456567918,2.158923405393611,1.7990895582341888,2.150684931506849,2019-01-01,2022-07-29
0.08,-0.04,7200.0,10.0,7.5538186094471875,1.9522569456567918,2.158923405393611,1.7990895582341888,2.150684931506849,2019-01-01,2022-07-29
0.1,-0.04,7200.0,10.0,7.5538186094471875,1.9522569456567918,2.158923405393611,1.7990895582341888,2.150684931506849,2019-01-01,2022-07-29
0.11,-0.09,2160.0,10.0,7.328907258138855,1.8455494427978592,1.5916327534477226,1.8301269836229157,2.16986301369863,2019-01-01,2022-07-30
0.11,-0.08,2160.0,10.0,7.328907258138855,1.8455494427978592,1.5916327534477226,1.8301269836229157,2.16986301369863,2019-01-01,2022-07-30
0.11,-0.06,720.0,10.0,6.547623545259435,1.2840546523799587,1.6329117417647758,2.4505596555847347,2.080821917808219,2019-01-01,2022-07-31
0.07,-0.05,7200.0,10.0,6.5251922426613245,1.7591926483518712,1.767158932848897,1.9340813370129224,1.917808219178082,2019-01-01,2022-07-29
0.06,-0.05,7200.0,10.0,6.5251922426613245,1.7591926483518712,1.767158932848897,1.9340813370129224,1.917808219178082,2019-01-01,2022-07-29
0.09,-0.1,720.0,10.0,6.356608908668651,1.2750812952581296,1.632911741764774,2.3047740071391547,2.163013698630137,2019-01-01,2022-07-31
0.11,-0.08,720.0,10.0,6.345722502783304,1.3055447365602377,1.681997425900458,2.225993344091954,2.1835616438356165,2019-01-01,2022-07-31
0.1,-0.05,7200.0,10.0,6.29601281140321,1.7622716965665826,1.996338364107011,1.8111445148386145,1.9726027397260273,2019-01-01,2022-07-29
0.08,-0.05,7200.0,10.0,6.29601281140321,1.7622716965665826,1.996338364107011,1.8111445148386145,1.9726027397260273,2019-01-01,2022-07-29
0.11,-0.05,7200.0,10.0,6.29601281140321,1.7622716965665826,1.996338364107011,1.8111445148386145,1.9726027397260273,2019-01-01,2022-07-29
0.09,-0.05,7200.0,10.0,6.29601281140321,1.7622716965665826,1.996338364107011,1.8111445148386145,1.9726027397260273,2019-01-01,2022-07-29
0.11,-0.05,720.0,10.0,6.270912646600517,1.2862493231579208,1.7659142135660684,2.3200807056391555,2.1013698630136988,2019-01-01,2022-07-31
