rise,freq,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.05,960.0,0.7210432701409873,0.43097434733144346,0.5126081917475125,1.6126706977243779,1.0374429223744293,2020-01-01,2022-07-31
0.064,960.0,0.6873409281494416,0.4205545571809027,0.5059082193893916,1.7932194448158738,0.9114155251141552,2020-01-01,2022-07-31
0.063,960.0,0.6873409281494416,0.4205545571809027,0.5059082193893916,1.7932194448158738,0.9114155251141552,2020-01-01,2022-07-31
0.054,960.0,0.6620113453111318,0.42414257929701904,0.4349693209240164,1.567982388619911,0.9954337899543378,2020-01-01,2022-07-31
0.055,960.0,0.6620113453111318,0.42414257929701904,0.4349693209240164,1.567982388619911,0.9954337899543378,2020-01-01,2022-07-31
0.052000000000000005,960.0,0.6451779004259641,0.4335866870035988,0.5126081917475125,1.4317770637715872,1.039269406392694,2020-01-01,2022-07-31
0.051000000000000004,960.0,0.6451779004259641,0.4335866870035988,0.5126081917475125,1.4317770637715872,1.039269406392694,2020-01-01,2022-07-31
0.058,960.0,0.6437142150823453,0.4254167687654065,0.43496932092401647,1.5398568274762354,0.9826484018264839,2020-01-01,2022-07-31
0.059000000000000004,960.0,0.6437142150823453,0.4254167687654065,0.43496932092401647,1.5398568274762354,0.9826484018264839,2020-01-01,2022-07-31
0.057,960.0,0.6437142150823453,0.4254167687654065,0.43496932092401647,1.5398568274762354,0.9826484018264839,2020-01-01,2022-07-31
0.065,960.0,0.6369359623798735,0.42361867214663695,0.5174146880905983,1.656335883629305,0.9077625570776255,2020-01-01,2022-07-31
0.066,960.0,0.6369359623798735,0.42361867214663695,0.5174146880905983,1.656335883629305,0.9077625570776255,2020-01-01,2022-07-31
0.043000000000000003,960.0,0.6361065951100492,0.44748127927460124,0.5518770228760385,1.3213682157960236,1.0757990867579907,2020-01-01,2022-07-31
0.069,960.0,0.6264526253272461,0.4263571826508577,0.5174146880905983,1.6350599114955993,0.8986301369863013,2020-01-01,2022-07-31
0.068,960.0,0.6264526253272461,0.4263571826508577,0.5174146880905983,1.6350599114955993,0.8986301369863013,2020-01-01,2022-07-31
0.067,960.0,0.6264526253272461,0.4263571826508577,0.5174146880905983,1.6350599114955993,0.8986301369863013,2020-01-01,2022-07-31
0.053,960.0,0.6218445434862448,0.4338468318079548,0.5126081917475125,1.384033053740373,1.0356164383561643,2020-01-01,2022-07-31
0.08,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.074,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.079,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.075,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.077,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.076,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.078,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.049,960.0,0.5953960148763399,0.431758572035197,0.5126081917475125,1.345817641904369,1.0246575342465754,2020-01-01,2022-07-31
0.04,1440.0,0.5656702799193705,0.48465227853997145,0.6275290110396086,1.0923488611975252,1.0684931506849316,2020-01-01,2022-07-31
0.041,1440.0,0.5656702799193705,0.48465227853997145,0.6275290110396086,1.0923488611975252,1.0684931506849316,2020-01-01,2022-07-31
0.042,1440.0,0.5656702799193705,0.48465227853997145,0.6275290110396086,1.0923488611975252,1.0684931506849316,2020-01-01,2022-07-31
0.056,960.0,0.5622330965567757,0.42873676931395205,0.43496932092401647,1.3807226717967858,0.9497716894977168,2020-01-01,2022-07-31
0.042,960.0,0.5468508481492877,0.44522076000046207,0.5518770228760385,1.1594435617211418,1.0593607305936072,2020-01-01,2022-07-31
0.047,960.0,0.5342325342772692,0.43479285577221954,0.5126081917475125,1.178137415098576,1.0429223744292238,2020-01-01,2022-07-31
0.048,960.0,0.5342325342772692,0.43479285577221954,0.5126081917475125,1.178137415098576,1.0429223744292238,2020-01-01,2022-07-31
0.062,960.0,0.5328625091512408,0.4095335895067195,0.5059082193893916,1.5760548444322369,0.8255707762557077,2020-01-01,2022-07-31
0.061,960.0,0.5328625091512408,0.4095335895067195,0.5059082193893916,1.5760548444322369,0.8255707762557077,2020-01-01,2022-07-31
0.06,960.0,0.5328625091512408,0.4095335895067195,0.5059082193893916,1.5760548444322369,0.8255707762557077,2020-01-01,2022-07-31
0.073,960.0,0.5179309593558679,0.4221274846349858,0.6259363540619767,1.370933173028883,0.8949771689497716,2020-01-01,2022-07-31
0.07200000000000001,960.0,0.5179309593558679,0.4221274846349858,0.6259363540619767,1.370933173028883,0.8949771689497716,2020-01-01,2022-07-31
0.07100000000000001,960.0,0.5179309593558679,0.4221274846349858,0.6259363540619767,1.370933173028883,0.8949771689497716,2020-01-01,2022-07-31
0.07,960.0,0.5179309593558679,0.4221274846349858,0.6259363540619767,1.370933173028883,0.8949771689497716,2020-01-01,2022-07-31
0.039,1440.0,0.5177465764682331,0.48654986621116614,0.6754527144907457,0.9783454646614044,1.0876712328767124,2020-01-01,2022-07-31
