rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,strategy_pct
0.07000000000000006,-0.010000000000000007,60.0,1.0,0.0,0.8477908170201881,0.4980965700771735,0.06586073588209768,6.884843619365721,0.007715320421980792,0.6641221374045801
0.06000000000000004,-0.08000000000000004,5.0,1.0,0.0,0.6487031924890329,0.748282885889964,0.10507022176418154,-4.0555808701164615,0.007158851422550052,0.2977099236641222
0.010000000000000005,-0.08000000000000004,60.0,1.0,0.0,0.3868921461929742,0.639452407095259,0.08782791132857032,-26.491405508060794,0.008451796329800983,0.40458015267175573
0.07000000000000008,-0.010000000000000007,15.0,1.0,0.0,0.37713980584968293,0.6050988442820893,0.0894316801338185,8.851531788514208,0.009426309142135431,0.7175572519083969
0.02000000000000001,-0.08000000000000004,15.0,1.0,0.0,0.34501138909750234,0.6476199344355981,0.09264190513999472,-17.3582580540117,0.008246357903892148,0.48091603053435117
0.010000000000000005,-0.06999999999999998,60.0,1.0,0.0,0.30849233382323227,0.6166484342940153,0.08599547962464071,-32.396340854029674,0.008483162100456618,0.4885496183206107
0.07000000000000002,-0.08000000000000003,5.0,1.0,0.0,0.22452548003942538,0.7921122302590226,0.11576233620538225,20.029752516908815,0.0070803873913683904,0.23664122137404575
0.010000000000000005,-0.08000000000000004,5.0,1.0,0.0,0.19978024465055383,0.7074147331590275,0.11112626602434743,-1.625098873481607,0.008917896455120991,0.5267175572519084
0.010000000000000005,-0.08000000000000004,30.0,1.0,0.0,0.14973856656814416,0.6610435950592802,0.09660855024421003,-4.874607023722963,0.008932164693135208,0.45038167938931295
0.07000000000000005,-0.02000000000000001,15.0,1.0,0.0,0.1325688372013869,0.5912753207942466,0.08884868174461304,7.153413318225929,0.008444802578565674,0.6488549618320612
0.010000000000000005,-0.07000000000000005,5.0,1.0,0.0,0.1290414801315809,0.6757768297138183,0.10229133426519242,-4.407296904455493,0.00924986376533814,0.6183206106870229
0.010000000000000005,-0.08000000000000004,15.0,1.0,0.0,0.12487690555220538,0.6565005267216898,0.10032596467937577,-4.306112625303953,0.008730242360379345,0.4961832061068703
0.010000000000000005,-0.07000000000000002,15.0,1.0,0.0,0.12387317403973641,0.6345478263227389,0.09351986382856879,-5.918930879756798,0.009010003604902669,0.5801526717557253
0.02000000000000001,-0.06999999999999995,60.0,1.0,0.0,0.11118257504432041,0.6166133205642829,0.08656742588657483,-20.232892132802345,0.007911539354539122,0.45038167938931295
0.020000000000000014,-0.010000000000000007,60.0,1.0,0.0,0.03494221290622357,0.6283267452166986,0.09270922541998833,-0.8651475835985611,0.013889181594661048,0.9923664122137404
0.030000000000000023,-0.06999999999999994,60.0,1.0,0.0,0.018368525259157803,0.6042469019138766,0.08668341973696837,-1.365229787478502,0.007599478147423353,0.4274809160305344
0.06000000000000004,-0.08000000000000004,15.0,1.0,0.0,0.004842069540531346,0.6687453010133454,0.09713122231762318,0.9624636341797779,0.00643050799086758,0.30534351145038163
0.060000000000000046,-0.06999999999999997,5.0,1.0,0.0,0.004073948795355303,0.7403394084578,0.11182596119220549,-3.0838870874556683,0.007861068831388466,0.3435114503816794
0.02000000000000001,-0.07,15.0,1.0,0.0,-0.01844417096004894,0.6337865856928828,0.09194774367204504,-16.538041555737728,0.008661926052765091,0.549618320610687
0.010000000000000007,-0.010000000000000007,60.0,1.0,0.0,-0.02583030902700245,0.6494314165820032,0.0984252906669491,-0.5023547560868493,0.015477186378054305,1.0
0.04999999999999999,-0.08000000000000004,15.0,1.0,0.0,-0.02680403215266225,0.6393321376146724,0.09480189685885833,-4.3988702174382155,0.006475337709284628,0.36641221374045807
0.05000000000000001,-0.08000000000000004,5.0,1.0,0.0,-0.03231801587695175,0.7477891667833761,0.12014019073327678,-7.362213414389906,0.007401291947524823,0.32061068702290074
0.020000000000000007,-0.08000000000000003,60.0,1.0,0.0,-0.04666347271063581,0.6138192966768922,0.08667012899986498,-31.46048929722115,0.007378995433789953,0.38167938931297707
0.02000000000000001,-0.06999999999999998,30.0,1.0,0.0,-0.05199331461980709,0.6139239173194291,0.08899846291832848,-21.814122292009582,0.008049701440112397,0.4961832061068703
0.04999999999999993,-0.04999999999999993,5.0,1.0,0.0,-0.05673724670650341,0.6446968366721992,0.09671885237220733,18.246957508708824,0.007942231011640618,0.5419847328244275
0.010000000000000007,-0.049999999999999906,60.0,1.0,0.0,-0.05817504819127861,0.5698755743894329,0.07966680291266193,-11.621562605142847,0.009426820475847149,0.7251908396946565
0.059999999999999915,-0.020000000000000014,15.0,1.0,0.0,-0.07477398892926868,0.5894698348590451,0.0907885156282233,0.6322514898499813,0.008805412861491628,0.732824427480916
0.0499999999999999,-0.010000000000000007,60.0,1.0,0.0,-0.09274601425296547,0.5709663161409134,0.08351286251669238,1.1196196645020702,0.009870201251479789,0.8244274809160306
0.010000000000000007,-0.05999999999999993,5.0,1.0,0.0,-0.09882698789267752,0.6669373807713923,0.10262827267866091,-10.902195677318298,0.009988689012661612,0.6946564885496183
0.060000000000000046,-0.060000000000000046,5.0,1.0,0.0,-0.13844016672214376,0.7075451427637751,0.11003311280096709,5.865170394990822,0.008095509893455099,0.41984732824427484
0.02000000000000001,-0.08000000000000004,5.0,1.0,0.0,-0.20000553981027855,0.7097334214478948,0.11639003255492016,23.826278839871023,0.008545398665261677,0.4961832061068703
0.02000000000000001,-0.08000000000000004,30.0,1.0,0.0,-0.20144235213096584,0.6184820341369439,0.08911747109259158,-16.981630796682605,0.007520227509412804,0.43511450381679384
