rise,down,freq,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.07,-0.01,7200.0,1.239471271525374,0.4211488891105827,0.3199668197808655,2.0078898674083985,1.465753424657534,2019-01-01,2022-07-29
0.06,-0.01,7200.0,1.239471271525374,0.4211488891105827,0.3199668197808655,2.0078898674083985,1.465753424657534,2019-01-01,2022-07-29
0.07,-0.02,7200.0,1.1591926506285406,0.42946739576949283,0.33917948730370795,1.8588417366168626,1.452054794520548,2019-01-01,2022-07-29
0.06,-0.02,7200.0,1.1591926506285406,0.42946739576949283,0.33917948730370795,1.8588417366168626,1.452054794520548,2019-01-01,2022-07-29
0.06,-0.03,7200.0,0.9345027776782004,0.431940917362959,0.33917948730370795,1.6451589989000117,1.3150684931506849,2019-01-01,2022-07-29
0.07,-0.03,7200.0,0.9345027776782004,0.431940917362959,0.33917948730370795,1.6451589989000117,1.3150684931506849,2019-01-01,2022-07-29
0.01,-0.04,1440.0,0.9126437030173326,0.47170948464719575,0.37403126807694753,1.1501411612922638,1.6821917808219178,2019-01-01,2022-07-31
0.04,-0.01,5760.0,0.8956803050866547,0.3826192039909747,0.4677355906035102,2.034369494380536,1.1506849315068493,2019-01-01,2022-07-28
0.05,-0.01,7200.0,0.8935038129136236,0.4404757150561383,0.46415445824704876,1.334056804094337,1.5205479452054793,2019-01-01,2022-07-29
0.07,-0.01,5760.0,0.8706413014061034,0.3846026219924948,0.46773559060350994,2.0656650321759185,1.095890410958904,2019-01-01,2022-07-28
0.07,-0.04,7200.0,0.8704014266855116,0.4304754573877618,0.35316167914972996,1.5702406084424712,1.2876712328767121,2019-01-01,2022-07-29
0.06,-0.04,7200.0,0.8704014266855116,0.4304754573877618,0.35316167914972996,1.5702406084424712,1.2876712328767121,2019-01-01,2022-07-29
0.09,-0.01,5760.0,0.8653171466769268,0.38588267229273127,0.4391024041472811,1.8602024846079321,1.2054794520547945,2019-01-01,2022-07-28
0.05,-0.02,7200.0,0.8147753567330047,0.44526627302819977,0.4734655165870099,1.2143622539508343,1.506849315068493,2019-01-01,2022-07-29
0.06,-0.05,7200.0,0.7883183213572855,0.4335792974060793,0.4352447844779559,1.354346741828333,1.3424657534246576,2019-01-01,2022-07-29
0.07,-0.05,7200.0,0.7883183213572855,0.4335792974060793,0.4352447844779559,1.354346741828333,1.3424657534246576,2019-01-01,2022-07-29
0.08,-0.01,7200.0,0.7728929345397205,0.42847750276009117,0.3852220690605854,1.4158955751984699,1.273972602739726,2019-01-01,2022-07-29
0.1,-0.01,5760.0,0.768625406515794,0.3895460238363644,0.455589400564308,1.5793703541367505,1.2493150684931507,2019-01-01,2022-07-28
0.09,-0.03,5760.0,0.7082528248301815,0.39486236727425694,0.4391024041472811,1.4745261020396165,1.2164383561643837,2019-01-01,2022-07-28
0.09,-0.04,5760.0,0.7082528248301815,0.39486236727425694,0.4391024041472811,1.4745261020396165,1.2164383561643837,2019-01-01,2022-07-28
0.09,-0.02,5760.0,0.7082528248301815,0.39486236727425694,0.4391024041472811,1.4745261020396165,1.2164383561643837,2019-01-01,2022-07-28
0.05,-0.01,5760.0,0.6984356788295266,0.3850190649658433,0.46773559060350994,1.67202151034839,1.084931506849315,2019-01-01,2022-07-28
0.06,-0.01,5760.0,0.6976322965370467,0.39017606052407744,0.46773559060350994,1.5840234505134214,1.1287671232876713,2019-01-01,2022-07-28
0.07,-0.06,2880.0,0.6962340340270106,0.40564728629095026,0.49576842978390606,1.2890307253372775,1.3315068493150686,2019-01-01,2022-07-30
0.1,-0.02,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.1,-0.01,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.11,-0.02,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.1,-0.03,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.09,-0.02,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.08,-0.02,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.09,-0.03,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.08,-0.03,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.11,-0.01,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.09,-0.01,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.11,-0.03,7200.0,0.6926143136428868,0.43656483601893814,0.4017533881158377,1.2588608969387654,1.2602739726027397,2019-01-01,2022-07-29
0.03,-0.01,5760.0,0.6917808824669248,0.3901342230263298,0.46773559060351017,1.371214424081632,1.2931506849315069,2019-01-01,2022-07-28
0.08,-0.01,5760.0,0.6888085441731513,0.3939826240656074,0.5762817125258771,1.4636183047311668,1.1945205479452055,2019-01-01,2022-07-28
0.07,-0.04,2880.0,0.678341540551971,0.3945154315771285,0.40345955555153046,1.3184702344724986,1.3041095890410959,2019-01-01,2022-07-30
