rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.11,-0.02,1440.0,1,0,5.825829113570159,1.2288881556919748,1.729003034784867,1.3743980092969887,3.4493150684931506,2019-01-01,2022-07-31
0.06,-0.09,1440.0,1,0,5.638428705821914,1.2713915394610926,2.063161632336513,1.2908450221306251,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.09,1440.0,1,0,5.638428705821914,1.2713915394610926,2.063161632336513,1.2908450221306251,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.03,1440.0,1,0,5.614358593888716,1.2254047444697853,1.729003034784868,1.3335703113223483,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.08,1440.0,1,0,5.402367690532123,1.2741043375479484,2.2649861829354325,1.2341685440588195,3.4356164383561643,2019-01-01,2022-07-31
0.06,-0.08,1440.0,1,0,5.402367690532123,1.2741043375479484,2.2649861829354325,1.2341685440588195,3.4356164383561643,2019-01-01,2022-07-31
0.01,-0.04,1440.0,1,0,5.33781379797347,0.8274193974952294,0.8902630997955168,1.8395882069433216,3.506849315068493,2019-01-01,2022-07-31
0.1,-0.08,1440.0,1,0,5.336571412082057,1.3135836493947037,2.063161632336512,1.1824966507408299,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.09,1440.0,1,0,5.336571412082057,1.3135836493947037,2.063161632336512,1.1824966507408299,3.4356164383561643,2019-01-01,2022-07-31
0.06,-0.07,1440.0,1,0,5.316399541651167,1.2859679230717564,2.179865073476347,1.203324624526895,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.08,1440.0,1,0,5.24968603547318,1.3132857483294695,2.063161632336512,1.1635081432821481,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.09,1440.0,1,0,5.24968603547318,1.3132857483294695,2.063161632336512,1.1635081432821481,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.04,1440.0,1,0,5.1822345859927745,1.224449036200179,1.980892852795476,1.231889299094805,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.09,1440.0,1,0,5.157169900955051,1.284074920947986,2.063161632336513,1.169005093237144,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.07,1440.0,1,0,5.071109860750693,1.274133876576,2.5962440127168636,1.1584659791867191,3.4356164383561643,2019-01-01,2022-07-31
0.08,-0.09,1440.0,1,0,5.066169362894825,1.284610654157618,2.0631616323365147,1.1478985640294843,3.4356164383561643,2019-01-01,2022-07-31
0.05,-0.09,1440.0,1,0,5.051127082835916,1.2730979895265873,2.2403742530443607,1.115692811476229,3.5561643835616437,2019-01-01,2022-07-31
0.07,-0.1,1440.0,1,0,5.007424112981144,1.1985204935518037,1.916310261488607,1.2160858630120144,3.4356164383561643,2019-01-01,2022-07-31
0.06,-0.1,1440.0,1,0,5.007424112981144,1.1985204935518037,1.916310261488607,1.2160858630120144,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.07,1440.0,1,0,5.005313582300623,1.3136087581525673,2.394419462117944,1.1090741520466874,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.08,1440.0,1,0,5.003629216842646,1.2840270403476717,2.264986182935432,1.1342434449915078,3.4356164383561643,2019-01-01,2022-07-31
0.08,-0.08,1440.0,1,0,4.912628678782422,1.2845604712063805,2.2649861829354334,1.1131526217068906,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.11,1440.0,1,0,4.854948659078557,1.1966036575549706,1.916310261488607,1.180944923477012,3.4356164383561643,2019-01-01,2022-07-31
0.06,-0.11,1440.0,1,0,4.854948659078557,1.1966036575549706,1.916310261488607,1.180944923477012,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.07,1440.0,1,0,4.821194773961576,1.3138964586393322,2.491652893848114,1.0680433074825646,3.4356164383561643,2019-01-01,2022-07-31
0.05,-0.08,1440.0,1,0,4.815066067546127,1.2757839577424304,2.4122228817263114,1.061312515356987,3.5561643835616437,2019-01-01,2022-07-31
0.02,-0.04,1440.0,1,0,4.733431389928131,0.8315278640891477,0.8702246123365196,1.600727668234141,3.5561643835616437,2019-01-01,2022-07-31
0.11,-0.05,1440.0,1,0,4.713674936252955,1.2270545172899547,2.441738839655975,1.1181269075663993,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.07,1440.0,1,0,4.672371387061211,1.2840343885241396,2.596244012716866,1.0591464835777114,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.1,1440.0,1,0,4.6525960587141775,1.247183819351207,1.9163102614886065,1.0858259300950097,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.1,1440.0,1,0,4.6525960587141775,1.247183819351207,1.9163102614886065,1.0858259300950097,3.4356164383561643,2019-01-01,2022-07-31
0.04,-0.1,1440.0,1,0,4.6138787734128694,1.2033549669031807,1.9832745364228899,1.0781783246196799,3.5561643835616437,2019-01-01,2022-07-31
0.08,-0.07,1440.0,1,0,4.5813708490009875,1.284562806034615,2.596244012716866,1.0380910171865074,3.4356164383561643,2019-01-01,2022-07-31
0.05,-0.1,1440.0,1,0,4.546813695725695,1.2040009592553325,2.0537170530747852,1.0619363784231306,3.5561643835616437,2019-01-01,2022-07-31
0.11,-0.06,1440.0,1,0,4.506571077315527,1.2260395093876275,2.650070627807662,1.069884972338472,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.11,1440.0,1,0,4.500120604811591,1.245332612856915,1.9163102614886065,1.0518023082255896,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.11,1440.0,1,0,4.500120604811591,1.245332612856915,1.9163102614886065,1.0518023082255896,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.1,1440.0,1,0,4.47319454758718,1.2160433713249945,1.9163102614886038,1.0706907485026125,3.4356164383561643,2019-01-01,2022-07-31
0.04,-0.11,1440.0,1,0,4.427934216105782,1.2014007724789901,1.9832745364228899,1.0388105445151767,3.547945205479452,2019-01-01,2022-07-31
0.08,-0.1,1440.0,1,0,4.382194009526959,1.216598139490001,1.993028378854644,1.048430824124494,3.4356164383561643,2019-01-01,2022-07-31
0.05,-0.11,1440.0,1,0,4.358314432632657,1.2021379566360966,2.053717053074785,1.0218504618417046,3.547945205479452,2019-01-01,2022-07-31
0.01,-0.03,1440.0,1,0,4.344274171112769,0.8238960279050797,1.069617247662765,1.5035840562992693,3.506849315068493,2019-01-01,2022-07-31
0.02,-0.03,1440.0,1,0,4.338956471327736,0.8330037533090793,1.0021842890070771,1.4647263924253566,3.5561643835616437,2019-01-01,2022-07-31
0.09,-0.11,1440.0,1,0,4.320719093684594,1.214139875684034,1.9163102614886038,1.035816052752655,3.4356164383561643,2019-01-01,2022-07-31
0.04,-0.04,1440.0,1,0,4.312483895289232,0.9260555374763707,0.9796380412613002,1.3095094149926756,3.5561643835616437,2019-01-01,2022-07-31
0.01,-0.02,1440.0,1,0,4.286384172668245,0.83922797465126,1.329321132234011,1.4318351536042686,3.567123287671233,2019-01-01,2022-07-31
0.05,-0.04,1440.0,1,0,4.258639660136438,0.9507352869752012,0.979638041261301,1.259590722101569,3.5561643835616437,2019-01-01,2022-07-31
0.08,-0.11,1440.0,1,0,4.229718555624372,1.2146930743444555,1.993028378854644,1.013538483162328,3.4356164383561643,2019-01-01,2022-07-31
0.05,-0.03,1440.0,1,0,4.146644257537782,0.9454624355930034,0.9796380412612993,1.2333055111037945,3.5561643835616437,2019-01-01,2022-07-31
0.03,-0.04,1440.0,1,0,4.1207295719349295,0.8550980056335854,0.9100066390877872,1.3551157495591981,3.5561643835616437,2019-01-01,2022-07-31
0.04,-0.03,1440.0,1,0,4.078147738353862,0.9260008914654906,0.9796380412612993,1.238425032938241,3.5561643835616437,2019-01-01,2022-07-31
0.04,-0.02,1440.0,1,0,4.029946395607762,0.9346787011030646,1.171974951369266,1.2087007825080935,3.567123287671233,2019-01-01,2022-07-31
0.08,-0.02,1440.0,1,0,4.007113879147373,0.9410681620078671,1.0690930084877448,1.2344620364274512,3.4493150684931506,2019-01-01,2022-07-31
0.09,-0.02,1440.0,1,0,3.993786834848965,0.9416640925833416,1.0690930084877448,1.229577776574827,3.4493150684931506,2019-01-01,2022-07-31
0.1,-0.02,1440.0,1,0,3.9189617752232784,0.9138027409327224,0.9111285174343,1.243327975053832,3.4493150684931506,2019-01-01,2022-07-31
0.02,-0.02,1440.0,1,0,3.8935380787083247,0.8386533931294032,1.216002022807785,1.3014988785336497,3.567123287671233,2019-01-01,2022-07-31
