rise,freq,total_return,yearly_vol,maxdrawdown,hold_time,start_date,end_date
0.05,25.0,0.20757438692569757,0.6622818818154433,1.0865664110056592,1.0379090563165907,2020-01-01,2022-07-31
0.060000000000000005,25.0,0.08998821911936265,0.6627855584776463,1.4388841664944596,0.9752187975646881,2020-01-01,2022-07-31
0.06999999999999999,15.0,0.04039483112617127,0.506472835954453,1.2225870979147322,0.9225742009132419,2020-01-01,2022-07-31
0.09,2.0,0.022729832535535115,0.18267484848218252,1.1144375956726842,0.7778386605783867,2020-01-01,2022-07-31
0.06999999999999999,20.0,0.018201251596776272,0.5864671301902716,1.3632019961887862,0.9259512937595129,2020-01-01,2022-07-31
0.060000000000000005,20.0,0.0014202500589457485,0.5919490217916493,1.521609358477123,0.9996575342465752,2020-01-01,2022-07-31
0.06999999999999999,25.0,-0.023807852617105527,0.6714015059073052,1.2611995672503125,0.9807363013698631,2020-01-01,2022-07-31
0.060000000000000005,30.0,-0.058386943017192425,0.6976602882830624,1.4612841844709357,0.9830479452054794,2020-01-01,2022-07-31
0.06999999999999999,10.0,-0.08674462397218831,0.42204578449067803,1.3491459562337607,0.9141362252663622,2020-01-01,2022-07-31
0.06999999999999999,1.0,-0.10110095535630298,0.13254830977817372,1.6145567349763734,0.9652245053272451,2020-01-01,2022-07-31
0.08,2.0,-0.12410865848856374,0.19439672455254292,1.2031854477734802,0.9094292237442922,2020-01-01,2022-07-31
0.06999999999999999,5.0,-0.16097345269236904,0.29863710304732516,1.4930060412861326,0.9248763318112633,2020-01-01,2022-07-31
0.05,20.0,-0.16626863658213206,0.5994050282964645,1.473336781685577,1.0694824961948248,2020-01-01,2022-07-31
0.060000000000000005,1.0,-0.16771126023513844,0.13546082534608206,1.6164972361186014,0.9707267884322679,2020-01-01,2022-07-31
0.08,5.0,-0.17228105045614064,0.30665293904994506,1.1301737505875158,0.9127473363774733,2020-01-01,2022-07-31
0.060000000000000005,2.0,-0.2584980484245483,0.19140917857252002,1.7129922226897696,0.9266362252663624,2020-01-01,2022-07-31
0.05,5.0,-0.2902650477449972,0.3119781053304647,1.4945876606162485,0.9947583713850836,2020-01-01,2022-07-31
0.09,1.0,-0.3008368402829779,0.12850585585033358,1.4384804726325082,0.8275361491628616,2020-01-01,2022-07-31
0.08,20.0,-0.3029482326228799,0.5683863787561455,1.3121705335882006,0.8033485540334855,2020-01-01,2022-07-31
0.06999999999999999,2.0,-0.30350132861405155,0.19076900086032172,1.678221972437692,0.8963089802130899,2020-01-01,2022-07-31
0.09,30.0,-0.3075913921108279,0.6187749922496101,1.3589387550812653,0.6358447488584474,2020-01-01,2022-07-31
0.02,25.0,-0.31374716450525286,0.7375885071858282,1.255801951889152,1.0819539573820396,2020-01-01,2022-07-31
0.08,3.0,-0.3225473608648914,0.2385153026342285,1.2062163660274878,0.9961929223744292,2020-01-01,2022-07-31
0.05,30.0,-0.3259615964769562,0.7106881039474668,1.3725911903771295,1.0672374429223743,2020-01-01,2022-07-31
0.09,5.0,-0.33117310542645184,0.2771776524254901,1.4238069122585209,0.644853500761035,2020-01-01,2022-07-31
0.060000000000000005,15.0,-0.3393852799265461,0.510283854531458,1.5871962849838583,1.0255993150684932,2020-01-01,2022-07-31
