rise,down,freq,take_profit,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.11,-0.06,720.0,10.0,6.547623545259435,1.2840546523799587,1.6329117417647758,2.4505596555847347,2.080821917808219,2019-01-01,2022-07-31
0.09,-0.1,720.0,10.0,6.356608908668651,1.2750812952581296,1.632911741764774,2.3047740071391547,2.163013698630137,2019-01-01,2022-07-31
0.11,-0.08,720.0,10.0,6.345722502783304,1.3055447365602377,1.681997425900458,2.225993344091954,2.1835616438356165,2019-01-01,2022-07-31
0.11,-0.05,720.0,10.0,6.270912646600517,1.2862493231579208,1.7659142135660684,2.3200807056391555,2.1013698630136988,2019-01-01,2022-07-31
0.1,-0.1,720.0,10.0,6.260540742234423,1.3179675910071593,1.6329117417647767,2.1713261319396064,2.1876712328767125,2019-01-01,2022-07-31
0.09,-0.11,720.0,10.0,6.2234672574078,1.2697268332924563,1.6497098044491842,2.2892118925441127,2.1410958904109587,2019-01-01,2022-07-31
0.07,-0.07,720.0,10.0,6.220578144360608,1.2569614199595593,1.739845818742932,2.252305504843367,2.197260273972603,2019-01-01,2022-07-31
0.11,-0.1,720.0,10.0,6.212857975317896,1.3172660413618267,1.6329117417647767,2.1708889445650974,2.1726027397260275,2019-01-01,2022-07-31
0.09,-0.09,720.0,10.0,6.199789192060073,1.2768937523818447,1.6700783710935,2.233408136612045,2.173972602739726,2019-01-01,2022-07-31
0.1,-0.08,720.0,10.0,6.196892281838015,1.309327767015663,1.774221731072105,2.080074053026426,2.2753424657534245,2019-01-01,2022-07-31
0.07,-0.08,720.0,10.0,6.15158695793438,1.2586959164582088,1.739845818742932,2.1914663368866854,2.23013698630137,2019-01-01,2022-07-31
0.1,-0.11,720.0,10.0,6.127399090973572,1.3127870211016943,1.649709804449187,2.155127077890725,2.165753424657534,2019-01-01,2022-07-31
0.11,-0.11,720.0,10.0,6.127399090973572,1.3127870211016943,1.649709804449187,2.155127077890725,2.165753424657534,2019-01-01,2022-07-31
0.1,-0.07,720.0,10.0,6.122061094077651,1.3003562094797687,1.774221731072105,2.1280687625033567,2.212328767123288,2019-01-01,2022-07-31
0.09,-0.08,720.0,10.0,6.111576447584597,1.2786990378736454,1.774221731072105,2.1210058580336146,2.2534246575342465,2019-01-01,2022-07-31
0.1,-0.09,720.0,10.0,6.103721025625845,1.3197199327828333,1.6700783710935037,2.1035881847350386,2.1986301369863015,2019-01-01,2022-07-31
0.11,-0.07,720.0,10.0,6.1013749356840155,1.293882160076282,1.681997425900458,2.2396594210807605,2.1054794520547944,2019-01-01,2022-07-31
0.11,-0.09,720.0,10.0,6.044119203902358,1.3190887127674265,1.6819974259004624,2.091863842296671,2.1904109589041094,2019-01-01,2022-07-31
0.08,-0.1,720.0,10.0,6.039464745505343,1.26218463616322,1.7264052912733243,2.2107586563145953,2.164383561643836,2019-01-01,2022-07-31
0.09,-0.07,720.0,10.0,6.036745259824233,1.269510510769103,1.774221731072105,2.170905631433707,2.1904109589041094,2019-01-01,2022-07-31
0.07,-0.09,720.0,10.0,5.9942901526003745,1.2499505735384793,1.8389409321024335,2.234080328651585,2.1465753424657534,2019-01-01,2022-07-31
0.07,-0.1,720.0,10.0,5.9821298462129295,1.2500272732110016,1.8511012384898784,2.222320360870633,2.1534246575342464,2019-01-01,2022-07-31
0.08,-0.11,720.0,10.0,5.890253503463116,1.2596838453569423,1.8264113335083465,2.176953879130324,2.147945205479452,2019-01-01,2022-07-31
0.08,-0.09,720.0,10.0,5.882645028896763,1.264011387049208,1.8832250078819044,2.1394099859540803,2.175342465753425,2019-01-01,2022-07-31
0.06,-0.11,720.0,10.0,5.8337522865498865,1.2474958083617207,1.9502735983457171,2.18830146363896,2.136986301369863,2019-01-01,2022-07-31
0.07,-0.11,720.0,10.0,5.8337522865498865,1.2474958083617207,1.9502735983457171,2.18830146363896,2.136986301369863,2019-01-01,2022-07-31
0.08,-0.08,720.0,10.0,5.79443228442129,1.2658326865710563,1.98736836786051,2.0301476056767616,2.254794520547945,2019-01-01,2022-07-31
0.11,-0.1,15.0,10.0,5.7358431921303215,1.4574812007998554,2.0860461564622215,1.6841903705619008,2.336700913242009,2019-01-01,2022-07-31
0.08,-0.07,720.0,10.0,5.719601096660924,1.2565480622908942,1.98736836786051,2.076775316969471,2.191780821917808,2019-01-01,2022-07-31
0.05,-0.11,720.0,10.0,5.55819377609062,1.254517172172434,2.084636381759382,1.9483718452778898,2.2739726027397262,2019-01-01,2022-07-31
0.1,-0.1,15.0,10.0,5.522041654902115,1.2519057385054266,2.1177547642470014,1.8386437659380845,2.399001141552511,2019-01-01,2022-07-31
0.11,-0.11,15.0,10.0,5.4567094350942655,1.4591495931537093,2.086046156462217,1.593372388119827,2.347003424657534,2019-01-01,2022-07-31
0.04,-0.11,720.0,10.0,5.366392900085412,1.2470498357754827,2.2690432529293556,2.009844875854658,2.1410958904109587,2019-01-01,2022-07-31
0.11,-0.11,5.0,10.0,5.243099337884184,1.4708458322385722,2.167794525617971,1.4791811894634577,2.4099029680365294,2019-01-01,2022-07-31
0.1,-0.11,15.0,10.0,5.2429078978660595,1.253847593420694,2.1177547642470023,1.7355452396582782,2.4093036529680365,2019-01-01,2022-07-31
0.09,-0.09,60.0,10.0,5.168556054721296,1.2918623350155518,1.8241328101194245,1.7495759050814637,2.2867579908675797,2019-01-01,2022-07-31
0.11,-0.09,60.0,10.0,5.140923388353265,1.3045171157513789,1.8592045799422863,1.6612271264268856,2.3722602739726026,2019-01-01,2022-07-31
0.09,-0.1,15.0,10.0,5.121167281453632,1.1855675971391955,2.1584415129717858,1.826765392224134,2.3646118721461185,2019-01-01,2022-07-31
0.11,-0.1,60.0,10.0,5.070213083112686,1.305069993253355,1.9104156075088832,1.6624839268214813,2.336872146118721,2019-01-01,2022-07-31
0.08,-0.09,60.0,10.0,5.067969683386192,1.1452527132113433,2.144342380156284,1.8426053776912177,2.4015981735159815,2019-01-01,2022-07-31
0.08,-0.1,60.0,10.0,5.0642156119226565,1.1437074994967273,2.036226831107145,1.827828647307531,2.422488584474886,2019-01-01,2022-07-31
0.09,-0.1,60.0,10.0,5.051828307785203,1.2931601540614406,1.8333255711751564,1.710738101690212,2.2835616438356166,2019-01-01,2022-07-31
0.09,-0.11,60.0,10.0,5.051828307785203,1.2931601540614406,1.8333255711751564,1.710738101690212,2.2835616438356166,2019-01-01,2022-07-31
0.11,-0.11,60.0,10.0,4.903369313695601,1.3089099628111078,1.9104156075088832,1.6028254833620645,2.337214611872146,2019-01-01,2022-07-31
0.1,-0.09,60.0,10.0,4.892540174436728,1.2927356711402762,2.0799104927341974,1.6500001729243845,2.2937214611872148,2019-01-01,2022-07-31
0.08,-0.11,60.0,10.0,4.876145852190478,1.1444770478723596,2.0362268311071254,1.7318340704511648,2.460159817351598,2019-01-01,2022-07-31
0.05,-0.06,720.0,10.0,4.846111988869041,0.8449685062475801,0.9764664528752232,2.846184906587993,2.015068493150685,2019-01-01,2022-07-31
0.1,-0.1,60.0,10.0,4.821829869196148,1.2932934626188248,1.8728461018656724,1.6509227635255734,2.2583333333333333,2019-01-01,2022-07-31
0.1,-0.11,60.0,10.0,4.6549860997790615,1.2971680055247086,1.915479042145848,1.5887964529922083,2.258675799086758,2019-01-01,2022-07-31
0.11,-0.02,720.0,10.0,4.595189130093758,0.9354757704479856,1.0242495555202682,2.262374208246018,2.171232876712329,2019-01-01,2022-07-31
0.09,-0.11,5.0,10.0,4.580181099981961,1.1340286715114694,2.034620802198771,1.7078504213562788,2.364878234398782,2019-01-01,2022-07-31
0.1,-0.11,5.0,10.0,4.513362832562457,1.1352391830277984,1.8934580471336906,1.6737146781833112,2.37537100456621,2019-01-01,2022-07-31
0.09,-0.11,15.0,10.0,4.511752844467723,1.1365624588764094,2.0697757565517287,1.6744085186606654,2.3707762557077623,2019-01-01,2022-07-31
