rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,ma_window,start_date,end_date
0.06,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.3,2020-01-01,2022-07-29
0.07,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.0,2020-01-01,2022-07-29
0.06,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,10.0,2020-01-01,2022-07-29
0.07,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.5,2020-01-01,2022-07-29
0.07,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.3,2020-01-01,2022-07-29
0.07,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.2000000000000002,2020-01-01,2022-07-29
0.07,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.1,2020-01-01,2022-07-29
0.06,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.0,2020-01-01,2022-07-29
0.06,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.1,2020-01-01,2022-07-29
0.06,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.2000000000000002,2020-01-01,2022-07-29
0.07,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,10.0,2020-01-01,2022-07-29
0.06,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.4000000000000001,2020-01-01,2022-07-29
0.07,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.4000000000000001,2020-01-01,2022-07-29
0.06,-0.01,7200.0,10.0,0.0,8.645138675096979,2.1570561152310175,1.1416554494027258,1.5987563822280413,2.506849315068493,1.5,2020-01-01,2022-07-29
0.06,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,1.1,2020-01-01,2022-07-29
0.07,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,10.0,2020-01-01,2022-07-29
0.07,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,1.0,2020-01-01,2022-07-29
0.07,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,1.1,2020-01-01,2022-07-29
0.07,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,1.2000000000000002,2020-01-01,2022-07-29
0.07,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,1.3,2020-01-01,2022-07-29
0.06,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,1.0,2020-01-01,2022-07-29
0.07,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,1.4000000000000001,2020-01-01,2022-07-29
0.06,-0.02,7200.0,10.0,0.0,7.750318980055368,2.2249038601459086,2.046700135419835,1.3895689397797726,2.506849315068493,10.0,2020-01-01,2022-07-29
