rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.11,-0.06,720.0,1,0,7.3045204573797795,1.3539941996740366,1.800886960821039,1.57025517656081,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.1,720.0,1,0,6.886155518817708,1.3792949815069824,1.8008869608210372,1.4531652323317081,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.08,720.0,1,0,6.867315104901363,1.3670850232429914,2.0366647092567423,1.4621326587123382,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.1,720.0,1,0,6.826585723560041,1.3411432804317893,1.8008869608210372,1.481575194461685,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.1,720.0,1,0,6.796565877039822,1.3788702116294915,1.8008869608210372,1.4347012254722222,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.05,720.0,1,0,6.713752827931875,1.3564673290168867,2.2338575833741494,1.4406262973941626,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.07,720.0,1,0,6.636561875430879,1.3269914200462065,2.1693548131571525,1.4556949017012588,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.11,720.0,1,0,6.630969439456641,1.375108219165791,1.8978225767443009,1.4035745226893168,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.11,720.0,1,0,6.630969439456641,1.375108219165791,1.8978225767443009,1.4035745226893168,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.08,720.0,1,0,6.616695504195712,1.3697155812051036,2.2387862285473696,1.4060672118456694,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.11,720.0,1,0,6.571399644198974,1.3368358248914458,1.8978225767443009,1.430787484146198,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.09,720.0,1,0,6.546590996740977,1.3789843614898785,2.0130404733572034,1.3818191141438498,3.4356164383561643,2019-01-01,2022-07-31
0.1,-0.07,720.0,1,0,6.518283942297173,1.3645587454845867,2.2387862285473696,1.3903891356338138,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.08,720.0,1,0,6.505454871463631,1.3278616434495716,2.1693548131571525,1.426002117434151,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.09,720.0,1,0,6.4870212014833095,1.3408222122165625,2.0130404733572034,1.4082165673120255,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.09,720.0,1,0,6.433377119063551,1.3787473174507632,2.0366647092567423,1.3581560032342792,3.4356164383561643,2019-01-01,2022-07-31
0.11,-0.07,720.0,1,0,6.430682054888195,1.3605690091640465,2.0366647092567423,1.3757255126551529,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.08,720.0,1,0,6.403824183996892,1.3431455954454374,2.2387862285473696,1.387751277001393,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.07,720.0,1,0,6.305412622098353,1.337884679643955,2.2387862285473696,1.3717979804775617,3.4356164383561643,2019-01-01,2022-07-31
0.08,-0.1,720.0,1,0,6.169591310855329,1.3320457173120555,2.1040305732416273,1.3481325468319936,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.09,720.0,1,0,6.102524134166679,1.321836872282652,2.339862794369208,1.343776281856501,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.1,720.0,1,0,6.078658646686658,1.3220372684645207,2.3637282818492302,1.3383182048619624,3.4356164383561643,2019-01-01,2022-07-31
0.08,-0.11,720.0,1,0,5.867319521143906,1.330007605852788,2.3151902882844837,1.2840470664167798,3.4356164383561643,2019-01-01,2022-07-31
0.08,-0.09,720.0,1,0,5.830026788778597,1.3317045790757442,2.4435950953183587,1.2742598085161698,3.4356164383561643,2019-01-01,2022-07-31
0.07,-0.11,720.0,1,0,5.77722053935442,1.3199762198982394,2.574054314512903,1.273937633512174,3.4356164383561643,2019-01-01,2022-07-31
0.08,-0.08,720.0,1,0,5.754723752816958,1.334251103824586,2.669340850508525,1.2554003285767579,3.4356164383561643,2019-01-01,2022-07-31
0.08,-0.07,720.0,1,0,5.6563121909184195,1.328949848641557,2.669340850508525,1.2388539433579413,3.4356164383561643,2019-01-01,2022-07-31
0.06,-0.11,720.0,1,0,5.575856307551713,1.3213240494725726,2.574054314512903,1.202861196995539,3.5082191780821916,2019-01-01,2022-07-31
0.05,-0.06,720.0,1,0,5.371602280514108,0.9555267531128459,1.0699167430120313,1.6024123376793906,3.5082191780821916,2019-01-01,2022-07-31
0.1,-0.06,720.0,1,0,5.186547010282452,1.003010547968155,1.0426836435907623,1.5051096713357501,3.4356164383561643,2019-01-01,2022-07-31
0.09,-0.06,720.0,1,0,4.973675690083634,0.9663769979613654,1.067712634831726,1.4980496496131306,3.4356164383561643,2019-01-01,2022-07-31
