rise,down,freq,ma_window,total_return,yearly_vol,maxdrawdown,sharpe,max_loss_period,hold_time,start_date,end_date
0.065,-0.07,30.0,50,3.1418861079712177,0.7641891204058752,0.7182347694212099,1.9664138057520644,0.6519406392694064,2.090810502283105,2020-01-01,2022-07-31
0.095,-0.095,30.0,0,3.1416761941345177,1.5326836973054794,2.9352167355204295,0.8195595641832932,1.559189497716895,2.5010844748858445,2020-01-01,2022-07-31
0.05,-0.085,30.0,50,3.0887202235469107,0.8141054158346707,0.7736378364864676,1.898790870942874,0.7630707762557077,1.9981164383561643,2020-01-01,2022-07-31
0.095,-0.095,15.0,50,3.085923908969918,1.1513165201097784,2.0373967869506497,1.2555712553695517,1.5591609589041096,2.134760273972603,2020-01-01,2022-07-31
0.065,-0.075,30.0,50,3.076841116177358,0.8448774803873096,0.858946798464971,1.7397986895011022,1.3308219178082192,2.0932077625570775,2020-01-01,2022-07-31
0.09,-0.095,15.0,50,3.0672933463542877,1.1538481390237227,1.950904715352849,1.225075677764791,1.5591609589041096,2.169920091324201,2020-01-01,2022-07-31
0.095,-0.09,30.0,100,3.0630796785885708,1.2074517055207021,1.730810620596329,1.317864223709327,1.559189497716895,1.9249429223744292,2020-01-01,2022-07-31
0.065,-0.06,30.0,50,3.061464295776752,0.760369066288694,0.7931841678568203,1.9497651415218415,0.6845890410958904,2.065011415525114,2020-01-01,2022-07-31
0.055,-0.06,30.0,50,3.0407185228619977,0.699588668918138,0.5248127208026216,2.2012368458911133,0.4087328767123288,1.9745433789954336,2020-01-01,2022-07-31
0.055,-0.085,30.0,50,3.039145478894604,0.8142744585486985,0.7736378364864676,1.866860370175421,0.7630707762557077,1.9992579908675798,2020-01-01,2022-07-31
0.055,-0.07,15.0,50,3.0321679162840365,0.7195492367312841,0.49519117291930465,2.1072618916267607,0.6270547945205479,1.9997431506849315,2020-01-01,2022-07-31
0.085,-0.1,15.0,100,3.0251661870175863,1.083944409557425,1.4997452120134884,1.4577427866774102,1.5591609589041096,1.9145262557077625,2020-01-01,2022-07-31
0.09,-0.095,30.0,100,3.006324680820937,1.2075142836966872,1.7356755819875271,1.2721418901673256,1.559189497716895,1.9570776255707762,2020-01-01,2022-07-31
0.095,-0.1,15.0,100,2.9982177316592318,1.0884169740233605,1.71741713529424,1.4122323282632214,1.5591609589041096,1.9505707762557076,2020-01-01,2022-07-31
0.05,-0.075,30.0,100,2.993814373881935,0.8120740163952321,0.8589467984649681,2.196406067180398,1.1276826484018265,1.6784817351598174,2020-01-01,2022-07-31
0.055,-0.065,30.0,50,2.990686158681822,0.7021325683712933,0.5928512647073966,2.1393628331839234,0.6506278538812785,1.9909817351598174,2020-01-01,2022-07-31
0.075,-0.075,15.0,50,2.99009485732628,0.8672226537974066,0.7644480537473983,1.5533626042650241,1.034646118721461,2.219634703196347,2020-01-01,2022-07-31
0.055,-0.07,30.0,100,2.9880476994378435,0.7298288781278411,0.718234769421209,2.4328435510446016,0.6834474885844749,1.6828767123287671,2020-01-01,2022-07-31
0.05,-0.07,15.0,50,2.973899885254899,0.7263557908983573,0.5104704598277587,2.069372297971421,0.6516267123287671,1.9785102739726026,2020-01-01,2022-07-31
0.085,-0.095,15.0,0,2.9620835632728983,1.3370930733431634,2.589881686543247,0.885843219185052,1.5591609589041096,2.500799086757991,2020-01-01,2022-07-31
0.095,-0.095,15.0,0,2.9408599064919674,1.4199194079014623,3.2671273822926366,0.8281935410163875,1.5591609589041096,2.500799086757991,2020-01-01,2022-07-31
0.085,-0.1,15.0,0,2.940816016037642,1.3382938478450914,2.5742806899041724,0.8786938187822885,1.5591609589041096,2.500799086757991,2020-01-01,2022-07-31
0.075,-0.08,15.0,50,2.9273336276957442,0.8664127481023538,0.6782572380054779,1.5219251607938675,0.8583333333333333,2.220005707762557,2020-01-01,2022-07-31
0.065,-0.065,30.0,50,2.926649292342186,0.7655472615961278,0.7182347694212086,1.8304026260896482,0.6833333333333333,2.088584474885845,2020-01-01,2022-07-31
0.085,-0.09,30.0,100,2.9263788379875337,1.051516546868587,1.7764957701905546,1.4214832830710642,1.559189497716895,1.9578196347031962,2020-01-01,2022-07-31
0.095,-0.095,30.0,100,2.9250255924894293,1.2064000264569037,1.816974670319035,1.2596393859501782,1.559189497716895,1.9248287671232875,2020-01-01,2022-07-31
0.055,-0.075,30.0,100,2.9233384366054556,0.8129215466147215,0.8589467984649681,2.133252647704469,1.3212328767123287,1.685730593607306,2020-01-01,2022-07-31
