rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.09,-0.1,30.0,1,0,3.5317762815769633,1.5310105032057977,2.681324847659402,0.9223306801389966,2.5010844748858445,2020-01-01,2022-07-31
0.09,-0.09,30.0,1,0,3.430552847438369,1.533558431031715,2.792293289866994,0.8944074862614502,2.5010844748858445,2020-01-01,2022-07-31
0.09,-0.1,15.0,1,0,2.7705509809911097,1.3391318308224907,2.9097590444020454,0.82730187901399,2.500799086757991,2020-01-01,2022-07-31
0.06,-0.07,30.0,1,0,2.601534990793487,0.8633873124860167,1.1109561676703277,1.1853774313184051,2.5419520547945207,2020-01-01,2022-07-31
0.05,-0.07,30.0,1,0,2.461343816390449,0.8606952715992199,1.110956167670329,1.125007741825432,2.5419520547945207,2020-01-01,2022-07-31
0.05,-0.08,30.0,1,0,2.3957063592118306,0.9332548278196351,1.1183674196437128,1.00987119685674,2.5419520547945207,2020-01-01,2022-07-31
0.05,-0.07,15.0,1,0,2.2690479915179154,0.8419664932704037,0.6576751226067354,1.0603275178189762,2.5416095890410957,2020-01-01,2022-07-31
0.05,-0.08,15.0,1,0,2.2180775624536073,0.8565429844833984,0.8561104545310262,1.0188698851601525,2.5416095890410957,2020-01-01,2022-07-31
0.06,-0.07,15.0,1,0,2.1835261250841542,0.8386995544439976,0.915261939682721,1.0243376597178833,2.5416095890410957,2020-01-01,2022-07-31
0.05,-0.06,30.0,1,0,2.0450052920609636,0.8203261585758843,1.0167229549983325,0.9807098128851055,2.5419520547945207,2020-01-01,2022-07-31
0.05,-0.06,15.0,1,0,2.0241967718873424,0.8469553941212593,0.8656720304285059,0.9403366197564935,2.5416095890410957,2020-01-01,2022-07-31
0.06,-0.1,30.0,1,0,1.9565454977247694,0.9713481281788365,1.580777267958773,0.805353746702603,2.5010844748858445,2020-01-01,2022-07-31
0.07,-0.07,15.0,1,0,1.9161408075959343,0.8388104059981644,0.990893162941025,0.8987828360742558,2.5416095890410957,2020-01-01,2022-07-31
0.05,-0.1,30.0,1,0,1.8242274726491254,0.9670871909322385,1.4566495967565534,0.7541973469681336,2.5010844748858445,2020-01-01,2022-07-31
0.06,-0.06,30.0,1,0,1.8229328981027133,0.8186865240469241,1.2491126510794008,0.8759628462185238,2.5419520547945207,2020-01-01,2022-07-31
0.06,-0.08,30.0,1,0,1.7480232309018102,0.9340326334323651,1.4236586870685835,0.7362372642396955,2.5419520547945207,2020-01-01,2022-07-31
0.05,-0.09,15.0,1,0,1.7328322337072182,0.9342540695018969,0.9878947804597662,0.7416734243585995,2.500799086757991,2020-01-01,2022-07-31
0.04,-0.07,15.0,1,0,1.7220270469289414,0.8383543620859806,0.7769126680078272,0.8081714415811423,2.5416095890410957,2020-01-01,2022-07-31
0.07,-0.08,15.0,1,0,1.710957953573561,0.8511788079514055,0.891433907607097,0.7908783632160683,2.5416095890410957,2020-01-01,2022-07-31
0.08,-0.08,15.0,1,0,1.68880206076215,0.944258231184259,1.2766330346380255,0.703686356284371,2.5416095890410957,2020-01-01,2022-07-31
0.07,-0.1,30.0,1,0,1.6522634077130414,0.9728772534568456,1.886121081317329,0.6790361178059391,2.5010844748858445,2020-01-01,2022-07-31
0.06,-0.08,15.0,1,0,1.6137006135662602,0.8507427191020146,0.8967256290130308,0.7463041950233228,2.5416095890410957,2020-01-01,2022-07-31
0.04,-0.07,30.0,1,0,1.5955275173448322,0.81425207014944,0.8783709630969729,0.7708645471279287,2.5419520547945207,2020-01-01,2022-07-31
0.05,-0.09,30.0,1,0,1.5871845890123588,0.9158462565948354,1.2761855067149404,0.6929094796838832,2.5010844748858445,2020-01-01,2022-07-31
0.08,-0.09,30.0,1,0,1.5851385114547047,0.9837196873753651,2.1496449555600674,0.644269383963114,2.5010844748858445,2020-01-01,2022-07-31
0.04,-0.06,30.0,1,0,1.5747189006391065,0.8174808066336201,0.9421572819877407,0.757806141385076,2.5419520547945207,2020-01-01,2022-07-31
0.09,-0.06,30.0,1,0,1.5409818117592051,0.8782673120553367,1.7484632214447138,0.69024526919677,2.5419520547945207,2020-01-01,2022-07-31
0.08,-0.1,30.0,1,0,1.4997079756779,0.9742910830676172,2.0386765133524674,0.6154455174882656,2.5010844748858445,2020-01-01,2022-07-31
0.04,-0.08,15.0,1,0,1.4957598301416788,0.8521730381371548,0.8561104545310262,0.6905978722009661,2.5416095890410957,2020-01-01,2022-07-31
0.07,-0.07,30.0,1,0,1.494490982507814,0.8751859021659566,1.604926304422297,0.6717777738239059,2.5419520547945207,2020-01-01,2022-07-31
0.07,-0.09,30.0,1,0,1.4717968522987557,0.9227803032883858,1.7507159357729996,0.6377070135546862,2.5010844748858445,2020-01-01,2022-07-31
0.07,-0.08,30.0,1,0,1.4607131439862495,0.9364353384958669,1.705581174796593,0.6136486568535567,2.5419520547945207,2020-01-01,2022-07-31
0.06,-0.09,30.0,1,0,1.435123353769692,0.9203206717589802,1.593033309752566,0.6234788049992553,2.5010844748858445,2020-01-01,2022-07-31
0.08,-0.07,15.0,1,0,1.417547105521196,0.8832011175964924,1.2859112262156012,0.6314937392961433,2.5416095890410957,2020-01-01,2022-07-31
0.09,-0.08,15.0,1,0,1.3283451151243675,0.9518412606000596,1.8596324766737802,0.5490824412679937,2.5416095890410957,2020-01-01,2022-07-31
0.05,-0.03,30.0,1,0,1.3125495867684929,0.8055239561136038,0.8004138980820663,0.633703645818849,2.5712899543378995,2020-01-01,2022-07-31
0.09,-0.08,30.0,1,0,1.3117535861293643,1.0371122275138596,1.9869179013539644,0.4975756863496045,2.5419520547945207,2020-01-01,2022-07-31
0.02,-0.05,30.0,1,0,1.3080139762948917,0.8075013059009339,1.0878710442987614,0.6339499364081683,2.55513698630137,2020-01-01,2022-07-31
0.05,-0.05,30.0,1,0,1.2787967738086368,0.8061860573696942,0.9881264793778793,0.6240205532238798,2.5419520547945207,2020-01-01,2022-07-31
0.06,-0.06,15.0,1,0,1.2564839648431325,0.8396417042567108,1.194501667394686,0.5887814363779054,2.5416095890410957,2020-01-01,2022-07-31
0.07,-0.06,30.0,1,0,1.2495458608185088,0.8734346686518054,1.889553216748795,0.56280042837018,2.5419520547945207,2020-01-01,2022-07-31
0.09,-0.01,30.0,1,0,1.2448233623480363,0.8313465241800226,0.7700996789693084,0.5840356210209061,2.563812785388128,2020-01-01,2022-07-31
0.05,-0.1,15.0,1,0,1.2333701130761847,0.9386165563788661,1.3092658358243014,0.5254439644284854,2.500799086757991,2020-01-01,2022-07-31
0.06,-0.1,15.0,1,0,1.2308475708291793,0.9435271029543261,1.5863842283226817,0.521640245877187,2.500799086757991,2020-01-01,2022-07-31
0.04,-0.06,15.0,1,0,1.144644952676207,0.8449571072776324,0.8854770605704718,0.5330001041835358,2.5416095890410957,2020-01-01,2022-07-31
0.06,-0.09,15.0,1,0,1.132352108106446,0.9292503253231428,1.5279559692826064,0.48727033131104747,2.500799086757991,2020-01-01,2022-07-31
0.08,-0.1,15.0,1,0,1.1169485736313711,0.9396968941692955,1.618070850303155,0.47529865390082965,2.500799086757991,2020-01-01,2022-07-31
0.06,-0.03,15.0,1,0,1.1160833453659105,0.8217062591874653,1.0757724767386836,0.5283192899639751,2.570890410958904,2020-01-01,2022-07-31
0.09,-0.07,30.0,1,0,1.1152175284859465,0.8823440084362851,1.9254003820699128,0.4972265280399907,2.5419520547945207,2020-01-01,2022-07-31
0.05,-0.04,30.0,1,0,1.112918163726374,0.8081227392712057,1.1027766288098046,0.5355929479744053,2.5712899543378995,2020-01-01,2022-07-31
0.07,-0.09,15.0,1,0,1.1057047765022814,0.928788665403308,1.5432485950710353,0.47604003321206,2.500799086757991,2020-01-01,2022-07-31
0.09,-0.07,15.0,1,0,1.1041483408809227,0.8898724370666494,1.6997965703792008,0.4881921915262628,2.5416095890410957,2020-01-01,2022-07-31
0.05,-0.04,15.0,1,0,1.0738924718291094,0.8255927374643894,0.8546530344048422,0.5059431585627223,2.570947488584475,2020-01-01,2022-07-31
0.01,-0.08,30.0,1,0,1.0724358139431573,0.8149163827765191,1.192499153048531,0.5177151871663717,2.5419520547945207,2020-01-01,2022-07-31
0.06,-0.04,15.0,1,0,1.0243811543966006,0.8214699234912163,0.9027695867648597,0.4850498208160162,2.570890410958904,2020-01-01,2022-07-31
0.02,-0.08,30.0,1,0,1.0157825099086981,0.8343515151597041,1.345080232412645,0.47894353679678375,2.5419520547945207,2020-01-01,2022-07-31
0.04,-0.08,30.0,1,0,1.0108914145744117,0.8356201668413391,1.150362552460041,0.4759137369542806,2.5419520547945207,2020-01-01,2022-07-31
0.08,-0.08,30.0,1,0,0.9821700413118629,0.9401867841117001,1.8910281899481594,0.4109653305738174,2.5419520547945207,2020-01-01,2022-07-31
0.09,-0.09,15.0,1,0,0.964552891585413,1.02880337830905,2.510072924002294,0.3748995020239488,2.500799086757991,2020-01-01,2022-07-31
0.06,-0.03,30.0,1,0,0.9440320663657106,0.804313957300189,0.8890107933124964,0.4564778710455901,2.5712328767123287,2020-01-01,2022-07-31
0.09,-0.01,15.0,1,0,0.9303865206247118,0.8451785261571279,0.9684197847395362,0.42942912596523375,2.563441780821918,2020-01-01,2022-07-31
0.05,-0.05,15.0,1,0,0.9284078112677767,0.8256690502635252,1.1629603170626581,0.4424089862667941,2.5416095890410957,2020-01-01,2022-07-31
0.01,-0.09,15.0,1,0,0.913356805772326,0.8319652975598496,0.8859846931100951,0.4366647102853685,2.514126712328767,2020-01-01,2022-07-31
0.07,-0.1,15.0,1,0,0.8914191870146887,0.9410700439912161,1.925812612137178,0.378774929769066,2.500799086757991,2020-01-01,2022-07-31
0.08,-0.09,15.0,1,0,0.8908340954179718,0.930013347621709,1.6336718469422142,0.3830265220118991,2.500799086757991,2020-01-01,2022-07-31
0.08,-0.01,30.0,1,0,0.8898330033616537,0.8277734603669046,1.1746574855276817,0.4188201237742631,2.5666666666666664,2020-01-01,2022-07-31
0.08,-0.06,30.0,1,0,0.8819218581690701,0.8746706734222917,1.8738521219993016,0.3966597979632507,2.5419520547945207,2020-01-01,2022-07-31
0.03,-0.03,15.0,1,0,0.8462989820645811,0.8144733758303428,1.0867322117895997,0.4041603638905877,2.570947488584475,2020-01-01,2022-07-31
0.07,-0.06,15.0,1,0,0.8065883536322623,0.8410754539791443,1.2758846599145321,0.37731854226037886,2.5416095890410957,2020-01-01,2022-07-31
0.02,-0.05,15.0,1,0,0.8058223665978235,0.8168775058772367,0.9127954812744936,0.38612365133591164,2.554794520547945,2020-01-01,2022-07-31
0.02,-0.06,30.0,1,0,0.8051410121398808,0.8062177977559891,1.1747662236315004,0.3911165812796081,2.553367579908676,2020-01-01,2022-07-31
0.05,-0.03,15.0,1,0,0.8032601868266724,0.8186820579838173,1.021674900393164,0.3816346183684404,2.570947488584475,2020-01-01,2022-07-31
0.08,-0.07,30.0,1,0,0.7628828635236454,0.8774033263070508,1.9506772365995964,0.34205128650012423,2.5419520547945207,2020-01-01,2022-07-31
0.02,-0.06,15.0,1,0,0.711142508763913,0.8201004795174166,0.8593762864521923,0.33941700554861687,2.554794520547945,2020-01-01,2022-07-31
0.07,-0.03,15.0,1,0,0.709985872484719,0.8254106342967927,0.8909825121548591,0.33468845884393317,2.5700342465753425,2020-01-01,2022-07-31
0.03,-0.02,30.0,1,0,0.7061584966464788,0.7962368528048331,1.1345608786403074,0.3449124424005926,2.5712899543378995,2020-01-01,2022-07-31
0.01,-0.07,15.0,1,0,0.6914871594862908,0.8142609360204057,0.8729766331222129,0.33263679504330107,2.5529965753424655,2020-01-01,2022-07-31
0.03,-0.06,15.0,1,0,0.6372772355569399,0.8242988399629693,1.1855870218013402,0.30418295611543805,2.5416095890410957,2020-01-01,2022-07-31
0.03,-0.05,30.0,1,0,0.6309474919364844,0.8063549046561627,1.335565145965041,0.30782198302550057,2.5419520547945207,2020-01-01,2022-07-31
0.03,-0.06,30.0,1,0,0.6029943656361632,0.8094107683479849,0.842208191936638,0.2930737500320151,2.5419520547945207,2020-01-01,2022-07-31
0.02,-0.08,15.0,1,0,0.575673898346334,0.839102197121963,1.2006018591467809,0.26993104744474816,2.5416095890410957,2020-01-01,2022-07-31
0.04,-0.03,30.0,1,0,0.5684143734610856,0.8052030172079794,1.2205922818362995,0.27454188087706377,2.5712899543378995,2020-01-01,2022-07-31
0.01,-0.04,30.0,1,0,0.5589558672858699,0.7917730515919605,0.9688635524164522,0.2745527195477596,2.5712899543378995,2020-01-01,2022-07-31
0.01,-0.06,15.0,1,0,0.5573172091444011,0.8064217684693741,1.0460763967523163,0.27051056722796146,2.554794520547945,2020-01-01,2022-07-31
0.03,-0.03,30.0,1,0,0.5455509160310144,0.8054281992605837,1.3683356128925797,0.2634252527319031,2.5712899543378995,2020-01-01,2022-07-31
0.04,-0.05,30.0,1,0,0.5452097680564143,0.8064243515475648,1.5664289609312574,0.26596999163620705,2.5419520547945207,2020-01-01,2022-07-31
0.05,-0.02,30.0,1,0,0.5434994219417204,0.7985369972040407,0.981601229794685,0.2646994208427981,2.5712899543378995,2020-01-01,2022-07-31
0.02,-0.04,30.0,1,0,0.5328865815196386,0.799114572573995,1.4455595858590005,0.25934308993747673,2.5712899543378995,2020-01-01,2022-07-31
0.01,-0.08,15.0,1,0,0.5032548646372408,0.8368638320288766,1.2303139050722602,0.23660523129435757,2.5416095890410957,2020-01-01,2022-07-31
