rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,ma_window,start_date,end_date
0.025,-0.06,15.0,10,0,-0.19082038031215137,0.7187778573882976,0.7210016728872756,-0.42115093687374017,0.6303652968036529,200,2021-01-01,2021-12-31
0.075,-0.02,15.0,10,0,-0.19236293273404406,0.7847320923316939,0.9261827280196661,-0.3264327378671422,0.7509417808219178,300,2021-01-01,2021-12-31
0.035,-0.085,15.0,10,0,-0.1934469495974057,0.7656471315023136,0.8081036475724067,-0.35435237863166713,0.713013698630137,300,2021-01-01,2021-12-31
0.07,-0.07,15.0,10,0,-0.19659710250703497,0.8011047189833579,0.8507797379483008,-0.33270442749560797,0.7376141552511415,200,2021-01-01,2021-12-31
0.03,-0.065,15.0,10,0,-0.19733745467999023,0.7485668588752354,0.6146217949187758,-0.3969940235394637,0.6640410958904109,200,2021-01-01,2021-12-31
0.055,-0.07,15.0,10,0,-0.1980753297502019,0.7758173384935623,0.8611622090179195,-0.33933112804917437,0.7523972602739726,300,2021-01-01,2021-12-31
0.095,-0.01,15.0,10,0,-0.19846124225701733,0.8029512581957087,0.9487924514110752,-0.3293399487879674,0.7504851598173515,300,2021-01-01,2021-12-31
0.065,-0.08,15.0,10,0,-0.2001851708738748,0.7745001846529864,0.8937538742019807,-0.3658423692348527,0.7065068493150685,200,2021-01-01,2021-12-31
0.03,-0.08,15.0,10,0,-0.20099391314885398,0.7729301804165665,1.0021246256308867,-0.36463458682828487,0.713156392694064,300,2021-01-01,2021-12-31
0.01,-0.065,15.0,10,0,-0.20104449860773932,0.7244852510698476,0.988927051061461,-0.43463223363963566,0.6384703196347031,200,2021-01-01,2021-12-31
0.025,-0.085,15.0,10,0,-0.2042842011390484,0.7469192703330768,0.7677177069930766,-0.4239371643627443,0.645148401826484,200,2021-01-01,2021-12-31
0.035,-0.06,15.0,10,0,-0.20795555848130057,0.7696481738521667,0.7117301956366737,-0.36616855679671284,0.7378995433789954,300,2021-01-01,2021-12-31
0.075,-0.015,15.0,10,0,-0.2123390209278872,0.7762648433582423,0.8760225829453099,-0.3961488175555207,0.6904965753424658,200,2021-01-01,2021-12-31
0.075,-0.02,15.0,10,0,-0.2137967577062571,0.7782213169198445,0.9482218172803204,-0.3913790773412502,0.7019406392694064,200,2021-01-01,2021-12-31
0.035,-0.065,15.0,10,0,-0.21466313890935748,0.7600525805666926,0.5944618994191317,-0.4138162586920507,0.682505707762557,200,2021-01-01,2021-12-31
0.075,-0.015,15.0,10,0,-0.2192691154360764,0.7929133394088395,0.882347413165058,-0.3626023598913546,0.7626426940639269,300,2021-01-01,2021-12-31
0.04,-0.085,15.0,10,0,-0.22087130629098664,0.746957837366569,0.6938722906212802,-0.45318350338761393,0.6524828767123287,200,2021-01-01,2021-12-31
0.04,-0.065,15.0,10,0,-0.22115620539990052,0.785600144172602,0.7577336817352414,-0.40977881100555347,0.6869863013698629,200,2021-01-01,2021-12-31
0.06,-0.035,15.0,10,0,-0.22476552247644307,0.7611395563616806,0.7221298629068708,-0.4188535688496742,0.7050228310502283,200,2021-01-01,2021-12-31
0.065,-0.075,15.0,10,0,-0.22563529222048603,0.7831368320980362,1.063398534464524,-0.3738291936736796,0.7707191780821917,300,2021-01-01,2021-12-31
0.06,-0.03,15.0,10,0,-0.23363012179925816,0.7576158239399675,0.6850100148768993,-0.4332067442515123,0.7118436073059361,200,2021-01-01,2021-12-31
0.025,-0.07,15.0,10,0,-0.23474612141702159,0.7724432077404104,0.8370767820769071,-0.44753654723609615,0.6790525114155251,200,2021-01-01,2021-12-31
0.03,-0.06,15.0,10,0,-0.23935139932501018,0.7249967206530876,0.7325268104860869,-0.5152622626953335,0.6407248858447488,200,2021-01-01,2021-12-31
0.075,-0.025,15.0,10,0,-0.24127343070207544,0.7835518410117593,0.9530094748190858,-0.4132842857933722,0.7450627853881279,300,2021-01-01,2021-12-31
0.015,-0.07,15.0,10,0,-0.2499826017891356,0.7414206437461095,1.0377009412293823,-0.4981377486340982,0.6768550228310503,300,2021-01-01,2021-12-31
0.06,-0.025,15.0,10,0,-0.2506623880485621,0.746795348339736,0.750121502166802,-0.45566622132765183,0.7366152968036529,300,2021-01-01,2021-12-31
0.07,-0.01,15.0,10,0,-0.25279508077158463,0.7603549094118363,1.043397469316008,-0.4940518853309159,0.672945205479452,200,2021-01-01,2021-12-31
0.03,-0.085,15.0,10,0,-0.25295783863462407,0.7420129822532205,0.7352819220023121,-0.5398075403935578,0.6315353881278538,200,2021-01-01,2021-12-31
0.085,-0.01,15.0,10,0,-0.25547469011127827,0.8074987055537651,0.8736246131210386,-0.41901497700159024,0.7550513698630137,300,2021-01-01,2021-12-31
0.03,-0.07,15.0,10,0,-0.25857848536482425,0.7708813022164448,0.8205183797806227,-0.4977364132205316,0.6739155251141552,200,2021-01-01,2021-12-31
0.015,-0.06,15.0,10,0,-0.26092291590943373,0.7141703548605148,0.8208533417563793,-0.5731767231228901,0.6374143835616438,300,2021-01-01,2021-12-31
0.065,-0.035,15.0,10,0,-0.2616378983471313,0.7646113095615759,0.777399818602922,-0.49603400079782906,0.6898401826484019,200,2021-01-01,2021-12-31
0.01,-0.075,15.0,10,0,-0.2617597219788305,0.736140356543895,1.1764044089992507,-0.5380749204193418,0.6608447488584475,300,2021-01-01,2021-12-31
0.075,-0.025,15.0,10,0,-0.26270725567428954,0.7770311377850062,0.9750485640797409,-0.48571995076418417,0.6960616438356164,200,2021-01-01,2021-12-31
0.055,-0.085,15.0,10,0,-0.26341630219497864,0.7472591762300221,0.8338462669744218,-0.5344156532004231,0.6596175799086758,200,2021-01-01,2021-12-31
0.05,-0.065,15.0,10,0,-0.26516528714459214,0.8000998788050787,1.0888081684068827,-0.4382184806596178,0.7562785388127854,300,2021-01-01,2021-12-31
0.07,-0.02,15.0,10,0,-0.26517848986175946,0.7711445985402182,0.9937789734025608,-0.4590784412542796,0.7490582191780821,300,2021-01-01,2021-12-31
0.055,-0.035,15.0,10,0,-0.2659705594017216,0.7497283713725057,0.8477235371719394,-0.5154736289114997,0.6882134703196346,200,2021-01-01,2021-12-31
0.01,-0.08,15.0,10,0,-0.2692244996918158,0.7459997390505336,1.044646766045379,-0.5522826707613951,0.6534531963470319,200,2021-01-01,2021-12-31
0.055,-0.065,15.0,10,0,-0.2706608470564556,0.7688887582075238,0.8385467518562478,-0.5125120312902789,0.6868436073059361,200,2021-01-01,2021-12-31
0.065,-0.02,15.0,10,0,-0.2736075047728422,0.7582341926749901,0.8563723388101567,-0.48420800960122706,0.7452340182648401,300,2021-01-01,2021-12-31
0.075,-0.07,15.0,10,0,-0.273923346875415,0.806577884081886,0.8507797379483015,-0.45295358539200664,0.7497716894977169,200,2021-01-01,2021-12-31
0.06,-0.08,15.0,10,0,-0.27505885904513394,0.7739856478603041,1.0793230973661254,-0.46937459231833156,0.757134703196347,300,2021-01-01,2021-12-31
0.015,-0.07,15.0,10,0,-0.2752523643891977,0.7419053687017166,1.0069643961547705,-0.5718602238830326,0.6487728310502283,200,2021-01-01,2021-12-31
0.04,-0.085,15.0,10,0,-0.27985415541217956,0.7679912216570165,0.8236790501725197,-0.504065839732106,0.7229166666666667,300,2021-01-01,2021-12-31
0.015,-0.08,15.0,10,0,-0.280296556567327,0.7480515687484485,1.0113759587235283,-0.5729431195650587,0.6539954337899543,200,2021-01-01,2021-12-31
0.045,-0.06,15.0,10,0,-0.28127063238950634,0.7674925902124605,0.8104443654586387,-0.5279335973797307,0.6941780821917808,200,2021-01-01,2021-12-31
0.065,-0.015,15.0,10,0,-0.2821692021158711,0.7691966782350171,0.7941925385965461,-0.4827046137493585,0.7599600456621004,300,2021-01-01,2021-12-31
0.04,-0.06,15.0,10,0,-0.28324950309777164,0.751344491909047,0.6977547595955966,-0.571726304840555,0.6593892694063926,200,2021-01-01,2021-12-31
0.025,-0.07,15.0,10,0,-0.2889531332632182,0.7758711508761754,0.9455801237213685,-0.5125787063571535,0.7265696347031964,300,2021-01-01,2021-12-31
0.07,-0.015,15.0,10,0,-0.29009409998510544,0.7795228251179153,0.9479530859692673,-0.48906337961562546,0.7609303652968036,300,2021-01-01,2021-12-31
0.05,-0.03,15.0,10,0,-0.29072204830889997,0.7237835511413738,0.7131618841716709,-0.5643575287730092,0.7117294520547945,300,2021-01-01,2021-12-31
0.045,-0.065,15.0,10,0,-0.29285093989822997,0.7968028271892984,0.9423396528641783,-0.5281904278447841,0.6958333333333333,200,2021-01-01,2021-12-31
0.055,-0.085,15.0,10,0,-0.29326563486778984,0.7722392815353726,0.9361610178276856,-0.5033968546571557,0.7543949771689498,300,2021-01-01,2021-12-31
0.02,-0.06,15.0,10,0,-0.293568038825082,0.7223938820852575,0.851522686937593,-0.6217637516518107,0.6535958904109589,300,2021-01-01,2021-12-31
0.06,-0.06,15.0,10,0,-0.2938583071291187,0.7793682223617029,0.9353521127963702,-0.5287649263766347,0.7130707762557077,200,2021-01-01,2021-12-31
0.01,-0.04,15.0,10,0,-0.2946327145117223,0.679932499420556,0.8391864290070721,-0.6694188206334211,0.6473173515981735,300,2021-01-01,2021-12-31
0.03,-0.07,15.0,10,0,-0.2952146611796428,0.7794019389906818,0.9103291524804799,-0.5128928109391662,0.7384988584474885,300,2021-01-01,2021-12-31
0.01,-0.03,15.0,10,0,-0.29753536232797106,0.6594177216215235,0.6412331091379082,-0.7552123914137052,0.5974600456621004,300,2021-01-01,2021-12-31
0.06,-0.07,15.0,10,0,-0.2981289604824891,0.7802764037193066,1.0951837005750495,-0.5033130059522359,0.7591324200913242,300,2021-01-01,2021-12-31
0.055,-0.045,15.0,10,0,-0.29993901971157205,0.7358891104329564,0.8286223147864806,-0.6214366583479369,0.6558789954337899,200,2021-01-01,2021-12-31
0.07,-0.075,15.0,10,0,-0.30096819764902977,0.7808586651934546,1.1835417486945916,-0.5168797072919565,0.7456906392694064,300,2021-01-01,2021-12-31
0.065,-0.01,15.0,10,0,-0.30243297185042356,0.7850624494911709,0.8673735411751562,-0.5093430445269804,0.7563356164383561,300,2021-01-01,2021-12-31
0.01,-0.06,15.0,10,0,-0.30489765415856057,0.6820842969725099,0.7595543512497374,-0.747539104940167,0.5979737442922374,200,2021-01-01,2021-12-31
0.02,-0.065,15.0,10,0,-0.3055029271161642,0.7368840809350117,0.8125016343264374,-0.6442764730776547,0.6434931506849315,200,2021-01-01,2021-12-31
0.02,-0.065,15.0,10,0,-0.3077476666747758,0.7332776786972167,0.8707526815597222,-0.6187511727216709,0.6782819634703197,300,2021-01-01,2021-12-31
0.065,-0.06,15.0,10,0,-0.31140884285604525,0.7817224131274085,0.8914035154026219,-0.5552133833850323,0.7174942922374429,200,2021-01-01,2021-12-31
0.055,-0.03,15.0,10,0,-0.3120273794867045,0.7628805266270544,0.8558640563957136,-0.5479139271405181,0.7464897260273973,300,2021-01-01,2021-12-31
0.055,-0.055,15.0,10,0,-0.314187835328316,0.7590082304523711,0.9494568777287381,-0.6056470334412811,0.6834760273972602,200,2021-01-01,2021-12-31
0.02,-0.015,15.0,10,0,-0.315294607637562,0.6715512795545683,0.9874562777477272,-0.7645033173426725,0.6141267123287671,300,2021-01-01,2021-12-31
0.05,-0.035,15.0,10,0,-0.3156094361310924,0.7389633754031875,0.8427323443284551,-0.6312691453304682,0.6765696347031963,200,2021-01-01,2021-12-31
