rise,freq,total_return,yearly_vol,maxdrawdown,hold_time,start_date,end_date
0.05,960.0,0.7210432701409873,3.4477947786515477,0.5126081917475125,1.0374429223744293,2020-01-01,2022-07-31
0.08,960.0,0.6144765626618822,3.3413282115348477,0.5293907507559623,0.8712328767123287,2020-01-01,2022-07-31
0.04,1440.0,0.5656702799193705,4.748603140400624,0.6275290110396086,1.0684931506849316,2020-01-01,2022-07-31
0.06,960.0,0.5328625091512408,3.276268716053756,0.5059082193893916,0.8255707762557077,2020-01-01,2022-07-31
0.07,960.0,0.5179309593558679,3.3770198770798863,0.6259363540619767,0.8949771689497716,2020-01-01,2022-07-31
0.1,480.0,0.5161660565561119,2.3933315286148473,0.5917502377386614,0.8045662100456621,2020-01-01,2022-07-31
0.11,480.0,0.5161660565561119,2.3933315286148473,0.5917502377386614,0.8045662100456621,2020-01-01,2022-07-31
0.03,1440.0,0.30918889454288545,4.700960017143207,0.5822866609128252,1.0273972602739727,2020-01-01,2022-07-31
0.12,480.0,0.28664586850170143,2.471526126112668,0.710770097801515,0.8977168949771689,2020-01-01,2022-07-31
0.02,1440.0,0.2779490134612779,4.675375186824809,0.7418539130851193,1.0356164383561643,2020-01-01,2022-07-31
0.12,240.0,0.2753213809453631,1.7062685299058014,0.641461614541518,0.765296803652968,2020-01-01,2022-07-31
0.1,240.0,0.2665670419058348,1.7035645243025208,0.6891188145885302,0.7616438356164383,2020-01-01,2022-07-31
0.11,240.0,0.2665670419058348,1.7035645243025208,0.6891188145885302,0.7616438356164383,2020-01-01,2022-07-31
0.04,960.0,0.24276638826992802,3.5872660683076276,0.7047465845825578,1.0575342465753423,2020-01-01,2022-07-31
0.12,60.0,0.21321328190795694,0.7646890155914204,0.5294406914905828,0.7351598173515982,2020-01-01,2022-07-31
0.05,25.0,0.20757438692569757,0.6622818818154433,1.0865664110056592,1.0379090563165907,2020-01-01,2022-07-31
0.08,480.0,0.19954280860121562,2.4024863979561966,0.9130812362716442,0.8091324200913241,2020-01-01,2022-07-31
0.08,240.0,0.19297266024959517,1.7677166717936903,0.950343912478272,0.8328767123287671,2020-01-01,2022-07-31
0.05,1440.0,0.18913835840289012,4.734903890936766,0.7800337277312306,0.8712328767123287,2020-01-01,2022-07-31
0.06,60.0,0.18527745377353694,0.968652582790781,1.0550810003481481,0.9763698630136985,2020-01-01,2022-07-31
0.03,960.0,0.17522903328799566,3.4648150387504963,0.6877132768111656,1.0484018264840183,2020-01-01,2022-07-31
0.07,240.0,0.1719358633561371,1.8136976708626342,0.9574488167815334,0.8922374429223744,2020-01-01,2022-07-31
0.07,480.0,0.1625773674199336,2.345745419317223,0.8098786396150598,0.7205479452054794,2020-01-01,2022-07-31
0.13,120.0,0.15355332481786446,1.3011197159175751,0.7624478682690594,0.6853881278538813,2020-01-01,2022-07-31
0.12,120.0,0.14418030738581664,1.2850098575234066,0.8482242011651538,0.7566210045662101,2020-01-01,2022-07-31
0.04,480.0,0.1376077643853294,2.5205119225063966,0.7743138764316084,1.0246575342465754,2020-01-01,2022-07-31
0.03,480.0,0.13539760162700823,2.637212850280961,0.8364548713582082,1.023744292237443,2020-01-01,2022-07-31
0.01,1440.0,0.13008571712990305,4.968846951668468,0.9668213695107639,1.063013698630137,2020-01-01,2022-07-31
0.12,25.0,0.12861202007521788,0.6016000694198173,0.883557619230367,0.7523782343987824,2020-01-01,2022-07-31
0.09,240.0,0.12036235156829717,1.745331485153463,1.0488657538116997,0.8401826484018264,2020-01-01,2022-07-31
0.01,960.0,0.11612779982718056,3.7047022712363438,1.127890358952056,1.1415525114155252,2020-01-01,2022-07-31
0.14,60.0,0.0955833236694064,0.7820022044280937,0.46133619890866057,0.666324200913242,2020-01-01,2022-07-31
0.14,30.0,0.09153455518500932,0.636415400891516,0.7095569675293206,0.681906392694064,2020-01-01,2022-07-31
0.06,25.0,0.08998821911936265,0.6627855584776463,1.4388841664944596,0.9752187975646881,2020-01-01,2022-07-31
0.05,480.0,0.0818547465600539,2.598960156109482,0.8686717016442719,1.0904109589041096,2020-01-01,2022-07-31
0.11,120.0,0.0714989299096782,1.3186180427330005,0.8482242011651538,0.7356164383561644,2020-01-01,2022-07-31
0.1,960.0,0.07144325259282196,3.420540089492459,0.977946340926109,0.8602739726027397,2020-01-01,2022-07-31
0.06,1440.0,0.06614872909535889,4.659926077515377,0.9673625694784356,0.8,2020-01-01,2022-07-31
0.16,20.0,0.06501715287568968,0.5495190072982026,0.773155464533224,0.7093607305936073,2020-01-01,2022-07-31
0.07,1440.0,0.06366919354381398,4.574398057549998,1.0424475475608006,0.7561643835616438,2020-01-01,2022-07-31
0.09,480.0,0.059746883925459224,2.3378332170920633,0.8800659732061574,0.7735159817351598,2020-01-01,2022-07-31
0.15,240.0,0.0562900143469421,1.7384213089230525,0.6350880258126536,0.7118721461187214,2020-01-01,2022-07-31
0.15,60.0,0.048253652979842174,0.801607408565229,0.4613361989086611,0.689041095890411,2020-01-01,2022-07-31
0.09,120.0,0.04781397688319839,1.3222785743412873,1.032122259881325,0.8107305936073059,2020-01-01,2022-07-31
0.07,15.0,0.04039483112617127,0.506472835954453,1.2225870979147322,0.9225742009132419,2020-01-01,2022-07-31
0.15,15.0,0.03773959223299644,0.4122870973758972,0.4829705851078453,0.6776826484018265,2020-01-01,2022-07-31
0.15,25.0,0.03673597607799138,0.6126018618317792,0.6850470086808924,0.7142789193302893,2020-01-01,2022-07-31
0.13,240.0,0.034340210948537335,1.7378057964765368,0.6350880258126536,0.7091324200913242,2020-01-01,2022-07-31
