rise,down,freq,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.01,-0.04,1440.0,1.0769074567996537,0.48661113030688485,0.3029339610251643,1.8316842907985034,1.2082191780821918,2020-01-01,2022-07-31
0.08,-0.05,960.0,0.8348300542243602,0.41627688277731406,0.3633222105434505,2.1656683313554352,0.9260273972602739,2020-01-01,2022-07-31
0.02,-0.04,1440.0,0.8174652225548982,0.49548974403324236,0.4430588143395425,1.3441553543813822,1.2273972602739727,2020-01-01,2022-07-31
0.07,-0.05,960.0,0.7475409282035288,0.42398219865353076,0.45986781384946485,1.990351304191866,0.8858447488584474,2020-01-01,2022-07-31
0.05,-0.05,960.0,0.7210432701409873,0.43097434733144346,0.5126081917475125,1.6126706977243779,1.0374429223744293,2020-01-01,2022-07-31
0.06,-0.05,960.0,0.7040164213500562,0.40757664194619453,0.43078161994289044,2.1840859728447413,0.7908675799086757,2020-01-01,2022-07-31
0.08,-0.06,960.0,0.703767200479746,0.4225497320158564,0.5293907507559623,1.8347585769293566,0.9077625570776255,2020-01-01,2022-07-31
0.02,-0.05,480.0,0.6761943908885129,0.46192206817098075,0.5535590553355882,1.2731842044367103,1.1497716894977168,2020-01-01,2022-07-31
0.02,-0.04,480.0,0.6526368955579401,0.45752830358034635,0.6654083646996372,1.2396447077675852,1.1506849315068493,2020-01-01,2022-07-31
0.08,-0.08,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.08,-0.07,960.0,0.6144765626618822,0.41766602644185596,0.5293907507559623,1.6886588351590524,0.8712328767123287,2020-01-01,2022-07-31
0.07,-0.06,960.0,0.6072215971737316,0.42696569443329463,0.6259363540619767,1.5267508666942415,0.9315068493150684,2020-01-01,2022-07-31
0.04,-0.04,1440.0,0.5656702799193705,0.48465227853997145,0.6275290110396086,1.0923488611975252,1.0684931506849316,2020-01-01,2022-07-31
0.02,-0.03,1440.0,0.5507669236815109,0.49023793915977165,0.4842275286471401,1.0251650835525938,1.095890410958904,2020-01-01,2022-07-31
0.06,-0.06,960.0,0.5328625091512408,0.4095335895067195,0.5059082193893916,1.5760548444322369,0.8255707762557077,2020-01-01,2022-07-31
0.11,-0.02,1440.0,0.5289555119043678,0.4516549823525636,0.6441461756784284,1.3657174813470807,0.8575342465753425,2020-01-01,2022-07-31
0.05,-0.04,1440.0,0.5233232916887705,0.49058613337814644,0.499713767855855,1.2017182319497002,0.8876712328767123,2020-01-01,2022-07-31
0.01,-0.05,1440.0,0.5207940262001938,0.49156508370604096,0.6393372147184813,0.886934078797721,1.1945205479452055,2020-01-01,2022-07-31
0.07,-0.07,960.0,0.5179309593558679,0.4221274846349858,0.6259363540619767,1.370933173028883,0.8949771689497716,2020-01-01,2022-07-31
0.07,-0.08,960.0,0.5179309593558679,0.4221274846349858,0.6259363540619767,1.370933173028883,0.8949771689497716,2020-01-01,2022-07-31
0.11,-0.11,480.0,0.5161660565561119,0.42308523837778106,0.5917502377386614,1.5163511309798583,0.8045662100456621,2020-01-01,2022-07-31
0.1,-0.11,480.0,0.5161660565561119,0.42308523837778106,0.5917502377386614,1.5163511309798583,0.8045662100456621,2020-01-01,2022-07-31
0.1,-0.1,480.0,0.5161660565561119,0.42308523837778106,0.5917502377386614,1.5163511309798583,0.8045662100456621,2020-01-01,2022-07-31
0.11,-0.1,480.0,0.5161660565561119,0.42308523837778106,0.5917502377386614,1.5163511309798583,0.8045662100456621,2020-01-01,2022-07-31
0.1,-0.08,480.0,0.514053566229052,0.41280714300312255,0.580781171074692,1.6117769069565984,0.7726027397260273,2020-01-01,2022-07-31
0.1,-0.07,480.0,0.514053566229052,0.41280714300312255,0.580781171074692,1.6117769069565984,0.7726027397260273,2020-01-01,2022-07-31
