rise,freq,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.056,10.0,0.683513277094329,0.4404725590080877,0.2124575706660698,6.90143605629772,0.2248477929984779,2022-01-01,2022-07-31
0.057,10.0,0.6803694315644987,0.42718291394257485,0.21245757066606968,7.523972853830674,0.21168188736681887,2022-01-01,2022-07-31
0.06,10.0,0.6803694315644987,0.42718291394257485,0.21245757066606968,7.523972853830674,0.21168188736681887,2022-01-01,2022-07-31
0.059000000000000004,10.0,0.6803694315644987,0.42718291394257485,0.21245757066606968,7.523972853830674,0.21168188736681887,2022-01-01,2022-07-31
0.058,10.0,0.6803694315644987,0.42718291394257485,0.21245757066606968,7.523972853830674,0.21168188736681887,2022-01-01,2022-07-31
0.061,10.0,0.6688976309189713,0.42737313665015886,0.22392937131159713,7.391160441767106,0.21175799086757988,2022-01-01,2022-07-31
0.061,5.0,0.6673580243653611,0.4359599133952734,0.22496560163455998,7.233779580855645,0.21161529680365296,2022-01-01,2022-07-31
0.055,10.0,0.6465681614494863,0.4501135364737008,0.22246557346100565,6.866143355011286,0.20920852359208522,2022-01-01,2022-07-31
0.061,20.0,0.6425350671632707,0.4182485577945086,0.22649429748368816,7.006715594565112,0.21925418569254185,2022-01-01,2022-07-31
0.06,20.0,0.6425350671632707,0.4182485577945086,0.22649429748368816,7.006715594565112,0.21925418569254185,2022-01-01,2022-07-31
0.057,20.0,0.6425350671632707,0.4182485577945086,0.22649429748368816,7.006715594565112,0.21925418569254185,2022-01-01,2022-07-31
0.056,20.0,0.6425350671632707,0.4182485577945086,0.22649429748368816,7.006715594565112,0.21925418569254185,2022-01-01,2022-07-31
0.059000000000000004,20.0,0.6425350671632707,0.4182485577945086,0.22649429748368816,7.006715594565112,0.21925418569254185,2022-01-01,2022-07-31
0.058,20.0,0.6425350671632707,0.4182485577945086,0.22649429748368816,7.006715594565112,0.21925418569254185,2022-01-01,2022-07-31
0.06,25.0,0.6379034534529956,0.4172065183925913,0.20051549004499636,7.228564933017628,0.2115201674277017,2022-01-01,2022-07-31
0.056,25.0,0.6379034534529956,0.4172065183925913,0.20051549004499636,7.228564933017628,0.2115201674277017,2022-01-01,2022-07-31
0.059000000000000004,25.0,0.6379034534529956,0.4172065183925913,0.20051549004499636,7.228564933017628,0.2115201674277017,2022-01-01,2022-07-31
0.055,25.0,0.6379034534529956,0.4172065183925913,0.20051549004499636,7.228564933017628,0.2115201674277017,2022-01-01,2022-07-31
0.057,25.0,0.6379034534529956,0.4172065183925913,0.20051549004499636,7.228564933017628,0.2115201674277017,2022-01-01,2022-07-31
0.054,25.0,0.6379034534529956,0.4172065183925913,0.20051549004499636,7.228564933017628,0.2115201674277017,2022-01-01,2022-07-31
