rise,down,freq,take_profit,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.11,-0.02,1440.0,0.75,0.9193247719377501,0.41059170743331036,0.5972538635676823,2.321715441415316,0.9643835616438357,2019-01-01,2022-07-31
0.01,-0.04,1440.0,0.0,0.9126437030173326,0.47170948464719575,0.37403126807694753,1.1501411612922638,1.6821917808219178,2019-01-01,2022-07-31
0.01,-0.04,1440.0,0.6,0.9020641435862968,0.46949496729872126,0.37403126807694753,1.1515480144508683,1.6684931506849314,2019-01-01,2022-07-31
0.01,-0.04,1440.0,0.6499999999999999,0.9020641435862968,0.46949496729872126,0.37403126807694753,1.1515480144508683,1.6684931506849314,2019-01-01,2022-07-31
0.11,-0.03,1440.0,0.7999999999999999,0.8466482756098208,0.39872885179042356,0.5972538635676824,2.5834316496030953,0.821917808219178,2019-01-01,2022-07-31
0.01,-0.04,1440.0,0.7,0.8210860836738122,0.47002796574077355,0.37403126807694753,1.0539074703448457,1.6575342465753424,2019-01-01,2022-07-31
0.11,-0.02,1440.0,0.7,0.818395007041301,0.42367419125403655,0.5623812200940659,1.7894831140114609,1.0794520547945206,2019-01-01,2022-07-31
0.01,-0.04,1440.0,0.75,0.7438863682353545,0.47209490458515707,0.37403126807694753,0.9522110415478757,1.6547945205479453,2019-01-01,2022-07-31
0.11,-0.02,1440.0,0.6499999999999999,0.7433197866748454,0.4198433050445969,0.5623812200940659,1.5609212201946565,1.1342465753424658,2019-01-01,2022-07-31
0.11,-0.03,1440.0,0.6499999999999999,0.6947134852168358,0.42276332350310464,0.5623812200940659,1.488319747148533,1.104109589041096,2019-01-01,2022-07-31
0.11,-0.01,1440.0,0.75,0.6885169302878886,0.42618067411845084,0.6619917356787578,1.4209069534132461,1.1369863013698631,2019-01-01,2022-07-31
0.11,-0.04,1440.0,0.7999999999999999,0.6749008526890146,0.405325676563418,0.6450119457006858,2.081353624112863,0.8,2019-01-01,2022-07-31
0.11,-0.03,1440.0,0.7,0.670980913470344,0.418836005840136,0.5623812200940659,1.5227471567141841,1.052054794520548,2019-01-01,2022-07-31
0.11,-0.03,1440.0,0.75,0.651789880906968,0.4125831247796989,0.5972538635676823,1.6017196982902477,0.9863013698630138,2019-01-01,2022-07-31
0.11,-0.04,1440.0,0.9500000000000001,0.6464415848890385,0.32312796841166264,0.4950804531031229,4.7416214609057175,0.42191780821917807,2019-01-01,2022-07-31
0.02,-0.04,1440.0,0.0,0.626172165745565,0.4804528195347251,0.443058814339542,0.7409703819207837,1.7589041095890412,2019-01-01,2022-07-31
0.02,-0.04,1440.0,0.6499999999999999,0.6155926063145287,0.4782774341840998,0.45363837377057836,0.7363523718175636,1.747945205479452,2019-01-01,2022-07-31
0.02,-0.04,1440.0,0.6,0.6155926063145287,0.4782774341840998,0.45363837377057836,0.7363523718175636,1.747945205479452,2019-01-01,2022-07-31
0.11,-0.02,1440.0,0.7999999999999999,0.5826198362883277,0.3914864933038912,0.5972538635676825,1.8476257991622669,0.8054794520547945,2019-01-01,2022-07-31
0.11,-0.08,1440.0,0.7999999999999999,0.580177673668546,0.33625511880089826,0.6323706988881327,2.460056078060876,0.7013698630136986,2019-01-01,2022-07-31
0.11,-0.09,1440.0,0.7999999999999999,0.580177673668546,0.33625511880089826,0.6323706988881327,2.460056078060876,0.7013698630136986,2019-01-01,2022-07-31
0.11,-0.11,1440.0,0.7999999999999999,0.580177673668546,0.33625511880089826,0.6323706988881327,2.460056078060876,0.7013698630136986,2019-01-01,2022-07-31
0.11,-0.1,1440.0,0.7999999999999999,0.580177673668546,0.33625511880089826,0.6323706988881327,2.460056078060876,0.7013698630136986,2019-01-01,2022-07-31
0.1,-0.03,1440.0,0.7999999999999999,0.5615373777086005,0.42078678274591946,0.6485012029123058,1.305872007228339,1.021917808219178,2019-01-01,2022-07-31
0.11,-0.02,1440.0,0.6,0.5526540595259699,0.4228268670306491,0.5623812200940659,1.0942011438977544,1.1945205479452055,2019-01-01,2022-07-31
0.11,-0.02,1440.0,0.9500000000000001,0.5505449800837666,0.24420198887240283,0.36993595172863425,5.142999619353326,0.4383561643835616,2019-01-01,2022-07-31
0.1,-0.02,1440.0,0.7,0.5485521149897077,0.4339784517699402,0.6275104768810225,1.00734239995277,1.2547945205479452,2019-01-01,2022-07-31
0.04,-0.04,1440.0,0.6499999999999999,0.5388214630775912,0.4599974741013142,0.5239317519654155,0.7932197868833155,1.4767123287671233,2019-01-01,2022-07-31
0.02,-0.04,1440.0,0.7,0.5346145464020441,0.4787903116566123,0.5346164336830629,0.6428342741324659,1.736986301369863,2019-01-01,2022-07-31
0.11,-0.03,1440.0,0.8500000000000001,0.531525826630519,0.3849282885274706,0.6052082071186682,1.9535192779029493,0.7068493150684931,2019-01-01,2022-07-31
0.01,-0.04,1440.0,0.7999999999999999,0.5298611649307741,0.4683359764981958,0.5019601407662628,0.7181738525324878,1.5753424657534247,2019-01-01,2022-07-31
0.1,-0.02,1440.0,0.75,0.5273239706216969,0.42536967369812156,0.6275104768810225,1.0671807858037443,1.1616438356164385,2019-01-01,2022-07-31
0.05,-0.04,1440.0,0.6499999999999999,0.5240591925777119,0.46226988469576613,0.44663884642774176,0.8766689151615747,1.2931506849315069,2019-01-01,2022-07-31
0.08,-0.04,1440.0,0.9500000000000001,0.5234803410344102,0.33102743270345114,0.30037350214558456,3.1889718117573906,0.4958904109589041,2019-01-01,2022-07-31
0.11,-0.04,1440.0,0.6499999999999999,0.5229660622960296,0.42897772893167185,0.6463559556973666,1.1265086466360519,1.082191780821918,2019-01-01,2022-07-31
0.01,-0.04,1440.0,0.8500000000000001,0.5209900918805755,0.4628144991946434,0.5669382634516962,0.7403249554308534,1.5205479452054795,2019-01-01,2022-07-31
0.1,-0.04,1440.0,0.9500000000000001,0.5097692233712714,0.32364623495747696,0.52149468589026,3.141556158392213,0.5013698630136987,2019-01-01,2022-07-31
0.07,-0.03,1440.0,0.9,0.5083041492013403,0.4062411480706219,0.49182889969352506,1.4684941451357885,0.852054794520548,2019-01-01,2022-07-31
0.11,-0.03,1440.0,0.6,0.5040477580679601,0.425721774212988,0.5623812200940659,1.0168332953518124,1.1643835616438356,2019-01-01,2022-07-31
0.08,-0.03,1440.0,0.7999999999999999,0.5021568318654231,0.4311764031081393,0.572075316414047,1.164620392594819,1.0,2019-01-01,2022-07-31
0.11,-0.04,1440.0,0.7,0.4992334905495378,0.4251057791961474,0.6463559556973666,1.1400180359111562,1.0301369863013699,2019-01-01,2022-07-31
0.11,-0.02,1440.0,0.8500000000000001,0.4906958515580669,0.3797437625553883,0.5972538635676825,1.7664580992715995,0.7315068493150685,2019-01-01,2022-07-31
0.11,-0.04,1440.0,0.75,0.48004245798616174,0.4189448067903754,0.5972538635676823,1.1881548373342798,0.9643835616438357,2019-01-01,2022-07-31
0.09,-0.03,1440.0,0.7999999999999999,0.4656740823915594,0.4227500013930794,0.6168090122839437,1.1454712615493594,0.9616438356164384,2019-01-01,2022-07-31
