rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,ma_window,start_date,end_date
0.05,-0.075,15.0,10,0,1.1642155042897102,0.8137256323883985,0.5167726744919766,1.875725428357953,0.7627568493150685,50,2021-01-01,2021-12-31
0.045,-0.075,15.0,10,0,1.1036502487216011,0.8202117085641667,0.5167726744919745,1.7437934205735057,0.7716324200913242,50,2021-01-01,2021-12-31
0.025,-0.075,15.0,10,0,1.079014913663259,0.7940127164365576,0.46622986534913363,1.7742464232795494,0.7659246575342465,50,2021-01-01,2021-12-31
0.03,-0.075,15.0,10,0,1.0616916152031373,0.7899062569998622,0.46622986534913363,1.7890338224297866,0.7512842465753424,50,2021-01-01,2021-12-31
0.035,-0.075,15.0,10,0,1.0481964119650466,0.7952957584643006,0.4773171984739484,1.7403742199601444,0.7573059360730593,50,2021-01-01,2021-12-31
0.05,-0.08,15.0,10,0,1.0391989075808004,0.8206472116895561,0.5098147913534393,1.620233759488874,0.7815639269406393,50,2021-01-01,2021-12-31
0.04,-0.075,15.0,10,0,1.031762626215693,0.7953943303152138,0.4773171984739484,1.7129406147765158,0.757277397260274,50,2021-01-01,2021-12-31
0.05,-0.075,15.0,10,0,0.9786572573336341,0.9429247797937435,0.5287363021273184,1.053774152369318,0.9849315068493151,0,2021-01-01,2021-12-31
0.05,-0.075,15.0,10,0,0.9734408605803241,0.7857211362037442,0.3941468355430951,1.7915704717162857,0.6915239726027397,100,2021-01-01,2021-12-31
0.055,-0.075,15.0,10,0,0.958245689170437,0.7928566799955198,0.4716807852984744,1.5858193026767227,0.76212899543379,50,2021-01-01,2021-12-31
0.05,-0.07,15.0,10,0,0.9381285078363807,0.8189008088381147,0.5104704598277597,1.5359930271399247,0.7458333333333333,50,2021-01-01,2021-12-31
0.045,-0.08,15.0,10,0,0.9235846933424628,0.8271901915916319,0.5098147913534388,1.404382839303777,0.7950342465753425,50,2021-01-01,2021-12-31
0.045,-0.075,15.0,10,0,0.9128756050122185,0.7924360456375557,0.3941468355430949,1.644756173153993,0.7003995433789955,100,2021-01-01,2021-12-31
0.025,-0.075,15.0,10,0,0.8972492769570417,0.7686699161248822,0.38400614834891156,1.6944082433588254,0.688898401826484,100,2021-01-01,2021-12-31
0.025,-0.08,15.0,10,0,0.8901763288977453,0.8128066601071993,0.5475077476416288,1.3937964394550408,0.7857591324200913,50,2021-01-01,2021-12-31
0.055,-0.08,15.0,10,0,0.8792038685999457,0.7990022937353995,0.5297012390667524,1.4105438234454948,0.7801084474885844,50,2021-01-01,2021-12-31
0.03,-0.075,15.0,10,0,0.8789106876466078,0.7663419398366005,0.38400614834891156,1.6897389428047,0.6787385844748858,100,2021-01-01,2021-12-31
0.045,-0.07,15.0,10,0,0.8775632522682724,0.8253457428183613,0.5104704598277585,1.4088444310141732,0.754708904109589,50,2021-01-01,2021-12-31
0.025,-0.075,15.0,10,0,0.8688161674610155,0.9274050475441773,0.5028522030701283,0.9511574379521186,0.9849315068493151,0,2021-01-01,2021-12-31
0.035,-0.08,15.0,10,0,0.8685244645626495,0.8025381781304042,0.5098147913534378,1.3862062635615602,0.7807077625570776,50,2021-01-01,2021-12-31
0.035,-0.075,15.0,10,0,0.8583736555222047,0.7653891657049758,0.4029409606973583,1.6377798092272076,0.6847602739726028,100,2021-01-01,2021-12-31
0.045,-0.075,15.0,10,0,0.8561322336642126,0.9449068362338853,0.5287363021273173,0.9199110324943063,0.9849315068493151,0,2021-01-01,2021-12-31
0.03,-0.08,15.0,10,0,0.8558609541801869,0.8077009085003733,0.5475077476416288,1.3812982936599687,0.7671232876712328,50,2021-01-01,2021-12-31
0.035,-0.07,15.0,10,0,0.8524340327692242,0.7996387539095298,0.4710149838097343,1.440995211889716,0.7397831050228311,50,2021-01-01,2021-12-31
0.04,-0.08,15.0,10,0,0.8520906788132951,0.8026357555490016,0.5098147913534378,1.3598615373053873,0.7806792237442922,50,2021-01-01,2021-12-31
0.04,-0.075,15.0,10,0,0.8419398697728483,0.7654914723140251,0.4029409606973583,1.6062763401050257,0.6847317351598173,100,2021-01-01,2021-12-31
